model,n,MAE,RMSE,R2,Bias,target,model_family,training_time_seconds
AQI:RandomForest,1262,3.9866279439461256,11.236280922468934,0.9450387461567225,0.2500059030417824,aqi,RandomForest,30.562738647000003
AQI:GradientBoosting,1262,5.1856805313440235,11.917923080580922,0.9381680973091105,0.15883950120278992,aqi,GradientBoosting,26.636684659000025
AQI:LinearRegression,1262,4.5631336860914224,11.976222440839557,0.9375616867595336,0.03600687699632897,aqi,LinearRegression,0.12154297099999667
AQI:Persistence,1262,3.3510301109350236,12.327654994138856,0.9338435187600178,-0.12361331220285261,aqi,Persistence,0.0
AQI:GRU,1195,5.284939071813748,13.872966255245013,0.9199171597995631,0.34294241768372513,aqi,GRU,
AQI:PINN,1195,5.595178313559881,13.69299563183547,0.9219814729535614,0.8279071188055461,aqi,PINN,
AQI:PIIANN,1195,5.003537019329819,13.257133943842765,0.9268692384533628,0.46729108126918045,aqi,PIIANN,
pm25:PIIANN,1271,17.608704670407846,41.78654303308356,0.25770202508359774,1.1589311055551825,pm25,PIIANN,
pm10:PIIANN,1271,30.268580112562322,55.91353142968271,0.32818053282040127,2.388153613410908,pm10,PIIANN,
no2:PIIANN,1204,12.268864208764313,19.239508708806593,0.33814589788268046,-0.9758051221082575,no2,PIIANN,
so2:PIIANN,1186,3.8904815771590298,7.777640398985539,0.10544619871012328,-0.01385469761681798,so2,PIIANN,
co:PIIANN,1251,0.3896072874591972,0.6103234864626162,0.2946442279596836,-0.02622086020714847,co,PIIANN,
o3:PIIANN,1237,13.730051159486024,20.88504814551148,0.40360751600609623,-0.46680696968669816,o3,PIIANN,
