model,n,MAE,RMSE,R2,Bias,target,model_family,training_time_seconds
AQI:RandomForest,1162,5.173198479769678,14.658478713589773,0.94246508917229,0.12295323757099719,aqi,RandomForest,16.735958704999916
AQI:GradientBoosting,1162,7.282294038724436,15.597343014191017,0.934858929794665,0.31806071062715935,aqi,GradientBoosting,13.724216926000054
AQI:LinearRegression,1162,5.749612225035932,15.758682269373372,0.9335043184868685,0.319337566619611,aqi,LinearRegression,0.061746390999928735
AQI:Persistence,1162,4.881239242685026,16.156932617322152,0.9301009182650127,-0.1549053356282272,aqi,Persistence,0.0
AQI:GRU,1136,6.157126245358336,14.903791623919481,0.9414560258809497,0.7413609462191386,aqi,GRU,
AQI:PINN,1136,6.103511455465584,14.717378843767445,0.9429113728958293,0.7339686572858011,aqi,PINN,
AQI:PIIANN,1136,5.841559565293328,14.49246193293565,0.9446429425253462,0.3099478514567932,aqi,PIIANN,
pm25:PIIANN,1174,20.57042598257276,31.727694917304504,0.3989379316187228,3.2930131521095003,pm25,PIIANN,
pm10:PIIANN,1164,40.41172490414885,59.146005052862,0.358756908533028,7.571887164591105,pm10,PIIANN,
no2:PIIANN,1044,16.863751612746395,26.073900594888208,0.31474497526348155,0.5787302035253167,no2,PIIANN,
so2:PIIANN,1126,9.11827464841743,16.00172777470334,0.1552432056630606,0.29217611232749313,so2,PIIANN,
co:PIIANN,1166,0.34703805051513403,0.49472557634041253,0.13278530401193955,0.014851462734062137,co,PIIANN,
o3:PIIANN,1087,14.645431262657745,20.426158318007705,0.25238367303898557,0.9923696898081594,o3,PIIANN,
