model,n,MAE,RMSE,R2,Bias,target,model_family,training_time_seconds
AQI:RandomForest,1563,4.385639840152537,10.436124473209233,0.9539295103468919,0.29808568800411595,aqi,RandomForest,47.55780337099998
AQI:GradientBoosting,1563,5.779288066760314,11.831073121823655,0.9407903349276262,-0.001918253494520505,aqi,GradientBoosting,38.688523749999945
AQI:LinearRegression,1563,5.539164325885865,12.324770855886126,0.9357457239900763,0.09208995453898829,aqi,LinearRegression,0.12565549500004636
AQI:Persistence,1563,3.982085732565579,12.635256708596408,0.9324675560069229,0.20025591810620602,aqi,Persistence,0.0
AQI:GRU,1557,5.834603133017117,11.827375338890743,0.9318408885665124,0.2401756175258714,aqi,GRU,
AQI:PINN,1557,6.084923429890384,12.074867172570745,0.9289585387799028,0.5955266558173763,aqi,PINN,
AQI:PIIANN,1557,5.761099545840516,11.778600807438798,0.9324018877530821,-0.06652103721835947,aqi,PIIANN,
pm25:PIIANN,1628,18.720030130859676,39.26503948572363,0.21980713167175836,0.37627018640316673,pm25,PIIANN,
pm10:PIIANN,1578,49.880447046233975,93.1596033970508,0.23435690731238867,-0.42675433926407075,pm10,PIIANN,
no2:PIIANN,1646,22.19811738478665,35.58608584922262,0.23504246865237877,-1.9980056908723975,no2,PIIANN,
so2:PIIANN,1571,17.147973104445875,24.772354551803605,0.07208457247027666,-0.1152836290217182,so2,PIIANN,
co:PIIANN,1655,0.5727321046297358,0.9588598634412301,0.09154618666192926,-0.09243910795845636,co,PIIANN,
o3:PIIANN,1647,21.794511869821175,27.956654283100352,0.2141006961377443,2.145589247798297,o3,PIIANN,
