model,n,MAE,RMSE,R2,Bias,target,model_family,training_time_seconds
AQI:GradientBoosting,1090,7.4807177751236384,16.931256867162865,0.9187857993428854,-0.05217553304691984,aqi,GradientBoosting,23.061592534000056
AQI:RandomForest,1090,6.061948652431366,17.15540825052508,0.916621190070181,-0.056090394691184764,aqi,RandomForest,27.633423458999914
AQI:LinearRegression,1090,7.236873384890707,17.31071330355365,0.9151047279074853,-0.2408003403361589,aqi,LinearRegression,0.2060982039999999
AQI:Persistence,1090,5.137614678899083,17.6829882484408,0.9114140404519206,-0.3357798165137615,aqi,Persistence,0.0
AQI:GRU,1017,7.690529720917943,16.696202108293267,0.9348826062751932,-0.6552348624067464,aqi,GRU,
AQI:PINN,1017,7.849525073408856,17.071216870110067,0.9319245403191168,-1.387730782668666,aqi,PINN,
AQI:PIIANN,1017,7.112661683213975,16.34612743823008,0.9375846537165735,-0.5464094957667024,aqi,PIIANN,
pm25:PIIANN,1091,18.463868038191038,44.89895114246948,0.43699838452087447,-0.09046378412124326,pm25,PIIANN,
pm10:PIIANN,1127,33.51140108807699,61.49098084257686,0.5998283274653018,0.6669445567249511,pm10,PIIANN,
no2:PIIANN,1111,11.08240531340684,19.81573966783221,0.85770212663262,0.1345187478726453,no2,PIIANN,
so2:PIIANN,1188,3.243893739914754,7.06150967076758,0.8354523301278969,0.012436299274365107,so2,PIIANN,
co:PIIANN,1118,0.2911287831006973,0.569901097228172,0.7173116342791639,0.009810373170372233,co,PIIANN,
o3:PIIANN,1189,6.548714154792356,13.038689328310001,0.7212636172645199,0.3044408919968031,o3,PIIANN,
