model,n,MAE,RMSE,R2,Bias,target,model_family,training_time_seconds
AQI:RandomForest,1122,5.016024239310174,15.438838282621877,0.9232323078529018,0.2755464643931407,aqi,RandomForest,29.11677655299991
AQI:GradientBoosting,1122,6.828063132039141,16.832670770061167,0.9087452863324395,-0.032486682929645475,aqi,GradientBoosting,24.953802185000086
AQI:LinearRegression,1122,6.064328395101378,17.66154006375344,0.8995369427997476,0.45532262934983253,aqi,LinearRegression,0.08103440500008219
AQI:Persistence,1122,4.989304812834225,17.894421999073536,0.8968700995841332,0.0748663101604278,aqi,Persistence,0.0
AQI:GRU,1089,5.5162729808877105,10.856286438095703,0.9571732907924594,-0.0916679228317581,aqi,GRU,
AQI:PINN,1089,5.4403793194660865,10.872559424029083,0.9570448047282796,-0.42032419561485357,aqi,PINN,
AQI:PIIANN,1089,5.3891169534441286,10.719680413483067,0.9582442976139613,0.15408280566682864,aqi,PIIANN,
pm25:PIIANN,1176,17.95738807252171,34.24933899844332,0.3547969126393975,0.7092215243701626,pm25,PIIANN,
pm10:PIIANN,1170,35.018659884297946,65.8311486608454,0.370084542489587,0.5292854920411721,pm10,PIIANN,
no2:PIIANN,955,12.79278853803639,21.158307907690673,0.3490898178655051,1.424505920337601,no2,PIIANN,
so2:PIIANN,1193,6.7917374054677255,12.912608431421647,0.4064501253684156,-0.3412155452584856,so2,PIIANN,
co:PIIANN,1121,0.39054758141466006,0.6160080567591345,0.30483353287639314,0.0023824368175903708,co,PIIANN,
o3:PIIANN,1054,13.457746875544823,19.646605497010924,0.4321061054195914,-0.7150132029866924,o3,PIIANN,
