model,n,MAE,RMSE,R2,Bias,target,model_family,training_time_seconds
AQI:RandomForest,1046,3.8456587489262937,13.228929442699052,0.9472653326314172,-0.6068557041370453,aqi,RandomForest,25.982188812999993
AQI:GradientBoosting,1046,5.339461088651524,13.515114116659385,0.9449590089734496,-0.817074243829354,aqi,GradientBoosting,21.63354196299997
AQI:LinearRegression,1046,4.500428880479233,13.55503568822665,0.9446333634597603,-0.7486808253590417,aqi,LinearRegression,0.0919972509998388
AQI:Persistence,1046,3.5363288718929256,14.265610683863358,0.9386764135566924,-0.8269598470363289,aqi,Persistence,0.0
AQI:GRU,984,4.887222926944013,11.530981217377553,0.9588960832233513,-0.05083421976902966,aqi,GRU,
AQI:PINN,984,4.960147155514126,11.766526895038524,0.9571996557819445,0.974274288209208,aqi,PINN,
AQI:PIIANN,984,4.618642254708314,11.58978060967133,0.9584758158693869,0.7786604581390226,aqi,PIIANN,
pm25:PIIANN,1059,14.190432736370449,30.995969638973335,0.4434819146313519,-0.8936024544315591,pm25,PIIANN,
pm10:PIIANN,1044,28.866262907497727,51.91115909164728,0.42231017941122384,-0.48211280756069785,pm10,PIIANN,
no2:PIIANN,1098,4.162166456490049,6.917283595182322,0.23062447553130505,-0.39354816464561365,no2,PIIANN,
so2:PIIANN,1127,3.1784389295913575,4.0030375578160005,0.15707084081749934,-0.34337096313921983,so2,PIIANN,
co:PIIANN,1114,0.23366457263963006,0.4085800349963422,0.07051638992389464,-0.013853810768305178,co,PIIANN,
o3:PIIANN,901,8.28140437222612,12.397858428744552,0.18218353882084126,-1.600539757031844,o3,PIIANN,
