model,n,MAE,RMSE,R2,Bias,target,model_family,training_time_seconds
AQI:Persistence,1150,1.9521739130434783,8.542120701966024,0.9513892890214332,-0.23217391304347826,aqi,Persistence,0.0
AQI:LinearRegression,1150,3.4000525534477135,8.752865872804973,0.9489611227266784,-0.20968426054381872,aqi,LinearRegression,0.0857682329999534
AQI:RandomForest,1150,2.482001808423413,9.337417181214386,0.941916324405378,-0.13489242062977688,aqi,RandomForest,29.548617363999938
AQI:GradientBoosting,1150,3.6203666140878887,10.134471907748427,0.9315768897189945,-0.29938426024277337,aqi,GradientBoosting,24.204185696999957
AQI:GRU,1120,3.9269078812243543,11.86260062116434,0.9099643115490148,-0.37411994049505154,aqi,GRU,
AQI:PINN,1120,4.515578743854061,12.156800408046308,0.9054430524242132,0.7534874663936378,aqi,PINN,
AQI:PIIANN,1120,3.9794770947321005,11.605468195340105,0.9138252161549643,0.002991238992994281,aqi,PIIANN,
pm25:PIIANN,1201,6.97265581802762,15.71998968829237,0.6823093909890219,1.0994686981124941,pm25,PIIANN,
pm10:PIIANN,1201,11.455523461525287,26.35629674136297,0.5757106300571353,1.8283055755716875,pm10,PIIANN,
no2:PIIANN,1062,2.3835636217939875,7.349513606868565,0.7381657803207369,0.10385042170795793,no2,PIIANN,
so2:PIIANN,1171,1.9498072805361906,4.415231579023495,0.6439976655370679,-0.05649940070181601,so2,PIIANN,
co:PIIANN,1126,0.133622634828867,0.2586734767051893,0.7696148007519517,0.003865954583953624,co,PIIANN,
o3:PIIANN,1205,4.259433927980572,7.004186844405593,0.8742833942317305,-0.07047258564483576,o3,PIIANN,
