model,n,MAE,RMSE,R2,Bias,target,model_family,training_time_seconds
AQI:Persistence,1145,2.6890829694323144,9.30722591046718,0.9623006153530853,-0.07074235807860262,aqi,Persistence,0.0
AQI:RandomForest,1145,3.212986761866909,9.339550298881246,0.9620382975141835,-0.014260561556372495,aqi,RandomForest,29.771596644000056
AQI:LinearRegression,1145,4.113434706238031,9.922024030070107,0.957155576895032,-0.21159566648797723,aqi,LinearRegression,0.08794796199981647
AQI:GradientBoosting,1145,4.468368737260026,10.25065954706781,0.9542704034624265,-0.0694837767981855,aqi,GradientBoosting,25.745136411000203
AQI:GRU,1113,5.0606276244201585,12.828213069350051,0.9320550305436011,-0.6273487079131662,aqi,GRU,
AQI:PINN,1113,4.811002375972836,12.031190974524115,0.9402356473931643,-0.037723468433806535,aqi,PINN,
AQI:PIIANN,1113,4.866659516924743,11.654759825926915,0.9439169486072129,-0.26320076589195823,aqi,PIIANN,
pm25:PIIANN,1174,14.633821533932597,23.536334205578754,0.47854017443251795,0.5068098432566888,pm25,PIIANN,
pm10:PIIANN,1174,27.4166782580608,45.80162036546274,0.46298884379151295,-0.46131538248143367,pm10,PIIANN,
no2:PIIANN,1046,21.227744450408032,38.16403415979153,0.14011691740201904,0.6485466178592088,no2,PIIANN,
so2:PIIANN,1079,7.156548760810641,13.736983129785694,0.17811157992542614,-0.12700589260809725,so2,PIIANN,
co:PIIANN,1174,0.48331961212276947,0.773451079888182,0.2848654221545188,-0.0599223589179367,co,PIIANN,
o3:PIIANN,1157,9.83088446158011,14.134434936203407,0.26932266030390395,-0.0336478408699728,o3,PIIANN,
