model,n,MAE,RMSE,R2,Bias,target,model_family,training_time_seconds
AQI:RandomForest,1134,4.084673138097889,12.481405066292252,0.9216483236712927,0.7165941658366642,aqi,RandomForest,30.15891927100006
AQI:GradientBoosting,1134,5.061253631685897,12.676660958810384,0.9191777219561605,0.7987102917080273,aqi,GradientBoosting,24.367110593000007
AQI:LinearRegression,1134,4.4040951776131525,13.071895692553474,0.9140593796152223,0.8334899320076954,aqi,LinearRegression,0.1572433200001342
AQI:Persistence,1134,3.7081128747795415,13.442771770538231,0.9091135819715066,0.6552028218694885,aqi,Persistence,0.0
AQI:GRU,1105,5.182838852581711,10.76853105708808,0.9500017845680541,0.4877806956315085,aqi,GRU,
AQI:PINN,1105,4.871244078484245,10.602186092160787,0.9515345310561835,0.6124024640823533,aqi,PINN,
AQI:PIIANN,1105,4.794588235900925,10.594370880176301,0.9516059556302163,0.7136466077453022,aqi,PIIANN,
pm25:PIIANN,1194,15.989720697179312,31.686495367474834,0.30758794682386326,0.4924569740966337,pm25,PIIANN,
pm10:PIIANN,1192,29.10431573814994,50.01030823878745,0.4198391549279429,1.35818161380371,pm10,PIIANN,
no2:PIIANN,1064,9.070523055648446,12.721708771118513,0.38591722726136823,0.7074757068228901,no2,PIIANN,
so2:PIIANN,1176,4.624275958919454,9.21340831271575,0.6056415467208254,0.06316543798133427,so2,PIIANN,
co:PIIANN,1193,0.3743470701283283,0.5874938987410181,0.4633411184125191,-0.016060137722210308,co,PIIANN,
o3:PIIANN,1146,7.770970677219032,10.468260335726244,0.5618764954254067,0.15985452024880503,o3,PIIANN,
