model,n,MAE,RMSE,R2,Bias,target,model_family,training_time_seconds
AQI:RandomForest,1436,3.1983543219335324,9.791177984665188,0.9229737145899213,0.10915312784552338,aqi,RandomForest,33.80837509699995
AQI:GradientBoosting,1436,4.110201705370955,10.240741485959235,0.9157379792301656,-0.0626341166103258,aqi,GradientBoosting,24.35389862199986
AQI:LinearRegression,1436,3.6819459878038336,10.600672967805137,0.909710772490579,0.007871414963835413,aqi,LinearRegression,0.11435989899996457
AQI:Persistence,1436,3.0731197771587744,10.786836866392886,0.9065116950631327,-0.10863509749303621,aqi,Persistence,0.0
AQI:GRU,1403,4.1186842126937355,8.404278685938948,0.9512384276934619,-0.37606362933680276,aqi,GRU,
AQI:PINN,1403,3.763283119725554,8.261353496095065,0.9528828273629358,0.4339234354407699,aqi,PINN,
AQI:PIIANN,1403,3.9494770254147396,8.273932215113554,0.9527392371200881,0.09124821348031203,aqi,PIIANN,
pm25:PIIANN,1588,12.745017364283353,29.817396684386853,0.3188160899365312,0.9197655573900161,pm25,PIIANN,
pm10:PIIANN,1588,21.09164429198885,29.929940407087802,0.47903107350758656,-0.49996751494311564,pm10,PIIANN,
no2:PIIANN,1569,8.688974809772919,15.182457981558615,0.4253731781684019,-0.8281884359004696,no2,PIIANN,
so2:PIIANN,1611,2.4661604780946584,4.611124387069111,0.39044416342269317,-0.0724319969179614,so2,PIIANN,
co:PIIANN,1604,0.2806452125782305,0.3973663624545967,0.3026989909531582,0.00831564743131571,co,PIIANN,
o3:PIIANN,1593,9.0430833634997,15.046547892824655,0.3563783367553299,0.19425915999891094,o3,PIIANN,
