model,n,MAE,RMSE,R2,Bias,target,model_family,training_time_seconds
AQI:LinearRegression,1294,3.384519379254706,10.626210673735953,0.8851127857571451,-0.1701218631751112,aqi,LinearRegression,0.13480215399999906
AQI:RandomForest,1294,2.9514319707260954,10.97754753382833,0.8773901086188168,-0.17816805087649315,aqi,RandomForest,41.89975162099995
AQI:GradientBoosting,1294,4.0489016475646675,11.075753443915048,0.8751865425093386,-0.1962631294526915,aqi,GradientBoosting,34.23739761599995
AQI:Persistence,1294,2.6306027820710973,11.153627226562621,0.8734252418860814,-0.24420401854714066,aqi,Persistence,0.0
AQI:GRU,1284,3.887183035500095,8.926543808052548,0.9268346484063836,0.13049259271388494,aqi,GRU,
AQI:PINN,1284,3.568343577571355,8.761848400955072,0.929509555053872,-0.21205194512448944,aqi,PINN,
AQI:PIIANN,1284,3.807937956030518,8.777863007426932,0.9292516395216115,-0.7539497842280218,aqi,PIIANN,
pm25:PIIANN,1512,6.882691241445995,12.83600271816299,0.45323399467512404,0.2697523554796895,pm25,PIIANN,
pm10:PIIANN,1490,20.619020287942565,58.652900870657156,0.3247992131138353,-0.9431398506932611,pm10,PIIANN,
no2:PIIANN,1415,3.0518097074629984,5.736984611150318,0.7882070716027686,0.06229123723801792,no2,PIIANN,
so2:PIIANN,1537,1.3146245292852654,2.6229573599030163,0.7412143526263595,-0.13119051426651518,so2,PIIANN,
co:PIIANN,1552,0.2294739399924372,0.5172017714223269,0.5384080948476088,-0.024199158144032066,co,PIIANN,
o3:PIIANN,1563,3.53626049807151,6.71584137669733,0.7997611876748096,-0.29662787022875886,o3,PIIANN,
