model,n,MAE,RMSE,R2,Bias,target,model_family,training_time_seconds
AQI:LinearRegression,1177,2.308809230810505,5.413687332109865,0.9255966226995707,0.11308631976669929,aqi,LinearRegression,0.1901553679999779
AQI:Persistence,1177,1.9095157179269329,5.966043106477127,0.9096394044987152,0.1661002548853016,aqi,Persistence,0.0
AQI:GradientBoosting,1177,2.4924225908618762,6.004657220751977,0.9084659346186553,-0.0516120434782104,aqi,GradientBoosting,10.658052365999993
AQI:RandomForest,1177,2.056251392344711,6.0374208699076535,0.9074643214716126,0.055737500663211655,aqi,RandomForest,14.293596255000011
AQI:GRU,1177,2.4157218695804565,7.005584175004976,0.86858504222568,0.004744548673983532,aqi,GRU,
AQI:PINN,1177,2.259473708600435,6.949487344119197,0.8706812121339841,0.38682026760797056,aqi,PINN,
AQI:PIIANN,1177,2.196446264929722,6.863239708306112,0.8738711536269179,0.06782596104201899,aqi,PIIANN,
pm10:PIIANN,1394,16.696054507875374,30.715857633158176,0.3819820380806491,2.2393818941485764,pm10,PIIANN,
no2:PIIANN,1431,3.8606092391690536,11.51021536089176,0.2651805557973773,-0.2947656676787584,no2,PIIANN,
so2:PIIANN,1420,1.4992061639755545,2.336930976588071,0.8176568880941931,-0.09408572580612881,so2,PIIANN,
co:PIIANN,1386,0.30274476038693016,0.5130215364970085,0.556666123373882,-0.03912044084513504,co,PIIANN,
