model,n,MAE,RMSE,R2,Bias,target,model_family,training_time_seconds
AQI:RandomForest,1478,2.1257360819117976,8.01476817717655,0.9342222231867536,-0.07508192061026207,aqi,RandomForest,22.963170222999906
AQI:GradientBoosting,1478,3.0101302339986544,8.059494487414039,0.933486030679101,-0.020889873689137545,aqi,GradientBoosting,15.404923208000127
AQI:LinearRegression,1478,2.903715121806652,8.466598025016287,0.9265967747842575,-0.13391024735931792,aqi,LinearRegression,0.08888916199998675
AQI:Persistence,1478,1.9309878213802436,8.644790839595359,0.9234744885865971,-0.052097428958051424,aqi,Persistence,0.0
AQI:GRU,1421,3.0435364638917055,6.5354507403593525,0.9547629344043455,0.6156576821538549,aqi,GRU,
AQI:PINN,1421,2.904183698822829,6.41320577422547,0.9564394169246537,0.018884142631508078,aqi,PINN,
AQI:PIIANN,1421,2.7154603223071434,6.244559736384963,0.9587002917747626,0.09051392189148713,aqi,PIIANN,
pm25:PIIANN,1581,10.060470700037774,19.250650515085372,0.353373394128072,0.49533784110511425,pm25,PIIANN,
pm10:PIIANN,1599,16.144878202561216,22.22861960919937,0.6110765886583611,-1.2576122450932925,pm10,PIIANN,
no2:PIIANN,1307,10.242040837002603,13.597853682800087,0.28785180408288424,0.22131617632911874,no2,PIIANN,
so2:PIIANN,1594,3.315804076515409,4.151882179419377,0.11492257734494615,0.016598702126756366,so2,PIIANN,
co:PIIANN,1363,0.14480038578823615,0.2134996048967698,0.04335524294476423,-0.010485827571610625,co,PIIANN,
o3:PIIANN,1564,8.638786806436755,13.473479861580383,0.1524847418415678,0.4614201802045793,o3,PIIANN,
