model,n,MAE,RMSE,R2,Bias,target,model_family,training_time_seconds
AQI:Persistence,1616,1.9288366336633664,7.218221579605133,0.9399275695430996,-0.15717821782178218,aqi,Persistence,0.0
AQI:RandomForest,1616,2.279642343395672,7.262399020432455,0.9391900007844147,-0.058883003830350646,aqi,RandomForest,37.70245189100001
AQI:LinearRegression,1616,2.6040442736363203,7.343016273640453,0.9378324481049221,-0.1468430432221709,aqi,LinearRegression,0.12175555399994664
AQI:GradientBoosting,1616,3.0667239658408643,7.533489012328432,0.9345654526418379,-0.028210073568081803,aqi,GradientBoosting,24.267414417000055
AQI:GRU,1585,2.910335752038186,6.735532431123834,0.9507297591112667,-0.09175460770857842,aqi,GRU,
AQI:PINN,1585,2.9378452918442433,6.587349885897631,0.9528738148144104,0.2107896954875073,aqi,PINN,
AQI:PIIANN,1585,2.745633419718362,6.509674304973722,0.9539786511838789,0.1178881816327194,aqi,PIIANN,
pm25:PIIANN,1643,9.799925385128052,13.630717713586062,0.32444134516034573,0.5522144228963684,pm25,PIIANN,
pm10:PIIANN,1643,20.559780305395456,26.942731727495648,0.36682976445335347,-0.7474807105772537,pm10,PIIANN,
no2:PIIANN,1614,7.301860793077074,10.032790992286712,0.12471159815871546,-1.1116950269673098,no2,PIIANN,
so2:PIIANN,1649,2.5140395071956156,3.6325755625350453,0.0596489807709909,0.02344408694580152,so2,PIIANN,
co:PIIANN,1636,0.17278545077384647,0.26825552155968435,0.058049866133394135,0.01143978083333169,co,PIIANN,
o3:PIIANN,1636,14.468283532574445,21.59372962957842,0.09268498284990556,-1.4658777469126987,o3,PIIANN,
