model,n,MAE,RMSE,R2,Bias,target,model_family,training_time_seconds
AQI:GradientBoosting,1570,3.4469041945552066,7.079745990517312,0.9515372216747147,0.23368705834571835,aqi,GradientBoosting,23.407212016999893
AQI:RandomForest,1570,2.562340005622571,7.3379649256838055,0.9479375958818066,0.15109982680686687,aqi,RandomForest,34.924407016999794
AQI:LinearRegression,1570,2.9872695334428814,7.782022575233945,0.9414458166265406,0.03156263095532056,aqi,LinearRegression,0.11475595299998531
AQI:Persistence,1570,2.2770700636942673,7.944112108816959,0.938981196905958,0.06305732484076433,aqi,Persistence,0.0
AQI:GRU,1517,3.570675712990579,8.785163868795907,0.9265636984221223,0.1773657504972739,aqi,GRU,
AQI:PINN,1517,3.363221209725649,8.73556259713962,0.9273906041181118,-0.3614379636589556,aqi,PINN,
AQI:PIIANN,1517,3.389133471453883,8.589493881699271,0.9297985289875822,-0.6631545864811633,aqi,PIIANN,
pm25:PIIANN,1617,9.728928485621473,32.65636412115671,0.3394293533981221,0.3121483582512567,pm25,PIIANN,
pm10:PIIANN,1615,16.720903280128265,25.542744323453984,0.6623270688454347,-0.9046691878292213,pm10,PIIANN,
no2:PIIANN,1505,4.733798748333366,7.4824990141051355,0.7029210260286701,-0.27360274445117017,no2,PIIANN,
so2:PIIANN,1596,2.2751615446686446,3.476253030183569,0.6133224965227796,-0.0699912513930696,so2,PIIANN,
co:PIIANN,1605,0.19093985617903533,0.31113441453134827,0.5845584400441248,-0.003618787916092858,co,PIIANN,
o3:PIIANN,1605,6.2918943514333705,10.07641356384928,0.5805548001632959,0.14597603294336908,o3,PIIANN,
