model,n,MAE,RMSE,R2,Bias,target,model_family,training_time_seconds
AQI:RandomForest,784,2.676138625875944,8.924831750789377,0.9380299520316405,-0.1636260035764934,aqi,RandomForest,24.55430001700006
AQI:Persistence,784,2.0114795918367347,9.373690384718893,0.9316398564222272,-0.3788265306122449,aqi,Persistence,0.0
AQI:LinearRegression,784,3.3998910146477956,9.411985117645768,0.9310801663308735,-0.41913777747268094,aqi,LinearRegression,0.07283595399985643
AQI:GradientBoosting,784,3.7355389625496,9.572451128572546,0.9287100889879898,-0.2647798439805217,aqi,GradientBoosting,21.103174844999558
AQI:GRU,755,4.378258848337501,10.967790605358188,0.9226848991660743,-0.5666474150046436,aqi,GRU,
AQI:PINN,755,4.379107140615172,10.897370236064111,0.9236745386187971,-1.365568027466163,aqi,PINN,
AQI:PIIANN,755,4.28812043174858,10.538416101388126,0.9286199725646714,-0.8654429635005108,aqi,PIIANN,
pm25:PIIANN,828,8.248794666234998,18.142493528088906,0.38706487544378876,-0.08826498593685132,pm25,PIIANN,
pm10:PIIANN,851,20.54072354178871,43.79938761511406,0.5618967549488876,-0.19101765853397715,pm10,PIIANN,
no2:PIIANN,827,1.3876278622407001,2.199902491839874,0.9196074876922898,0.0377949215336607,no2,PIIANN,
so2:PIIANN,839,0.8919790251107267,1.4593114910659544,0.8941248828565858,-0.027725880457192695,so2,PIIANN,
co:PIIANN,852,0.09671333001952775,0.17579399725091635,0.7969685812628157,-0.0129394606455391,co,PIIANN,
o3:PIIANN,805,7.634213637713319,10.883140751932645,0.7513814666431063,-0.41305457227718756,o3,PIIANN,
