model,n,MAE,RMSE,R2,Bias,target,model_family,training_time_seconds
AQI:RandomForest,1297,1.908938063137935,5.6562748375162535,0.9420848226904055,0.011573946767897565,aqi,RandomForest,27.52207794900005
AQI:Persistence,1297,1.5366229760986894,5.724125518624517,0.9406870288084539,0.023901310717039322,aqi,Persistence,0.0
AQI:LinearRegression,1297,2.522499359098566,6.264098552954091,0.9289688989362981,0.14832617650936455,aqi,LinearRegression,0.09290615300005811
AQI:GradientBoosting,1297,2.725448036575469,6.344501175954991,0.9271337620777061,0.09518244581821551,aqi,GradientBoosting,22.2615841060001
AQI:GRU,1253,2.643142331901932,8.978718414879143,0.8482389629368519,-0.4150866808541521,aqi,GRU,
AQI:PINN,1253,2.832282561512419,9.082092470069004,0.8447243267141938,-0.4337619773301098,aqi,PINN,
AQI:PIIANN,1253,2.5742406785482204,8.983004324230077,0.8480940448634309,0.17436155841067488,aqi,PIIANN,
pm25:PIIANN,1370,10.19139831222757,32.68244578232577,0.07142974818733472,-1.8138391125811277,pm25,PIIANN,
pm10:PIIANN,1361,16.319025472014552,27.144184302418243,0.23913723869673287,-1.5896932509434214,pm10,PIIANN,
no2:PIIANN,1491,6.771586851175003,21.36098587842706,0.04030869509115331,0.008135269185506921,no2,PIIANN,
so2:PIIANN,1401,3.055765119424458,4.45673589105588,0.10002293586450606,-0.12947427967615122,so2,PIIANN,
co:PIIANN,1442,0.2969795494839936,0.612638731069803,0.16018340884957583,-0.02541737843091026,co,PIIANN,
o3:PIIANN,1391,8.86047604305122,12.937575526279705,0.19806839718656888,0.5049140098538868,o3,PIIANN,
