model,n,MAE,RMSE,R2,Bias,target,model_family,training_time_seconds
AQI:GradientBoosting,805,4.829245034557089,12.680116091926259,0.9098442012762977,-0.343176705238802,aqi,GradientBoosting,19.632130167000014
AQI:RandomForest,805,3.8369184665394163,12.707056033096988,0.9094607076269525,-0.40103869901270567,aqi,RandomForest,23.18104969199976
AQI:LinearRegression,805,4.187706064643168,12.761656039189946,0.9086809728929166,-0.2217925995304656,aqi,LinearRegression,0.06899845299994922
AQI:Persistence,805,3.106832298136646,13.050451552122084,0.9045011188791751,-0.2248447204968944,aqi,Persistence,0.0
AQI:GRU,769,4.412830486201407,10.354218869378487,0.9092195550907118,-0.01427705413344994,aqi,GRU,
AQI:PINN,769,4.273140617626929,10.401005216905773,0.9083973045001862,0.5508675430329313,aqi,PINN,
AQI:PIIANN,769,4.111289264552833,10.38783879303934,0.9086290737407424,0.04686022587806812,aqi,PIIANN,
pm25:PIIANN,826,18.17046051665455,42.54452416118238,0.010515848459188293,-5.534353156535735,pm25,PIIANN,
pm10:PIIANN,735,34.221878664185404,57.07581757203534,0.1377392994077843,-0.9095297158169908,pm10,PIIANN,
no2:PIIANN,827,7.6743798215559345,10.124706826938931,0.03826567038142803,1.2465330167721953,no2,PIIANN,
so2:PIIANN,864,1.9997995417453003,2.8167158794679814,-0.009736503712994837,-0.24249927544776625,so2,PIIANN,
co:PIIANN,852,0.22116686192345522,0.3345083276040243,0.007963634969769262,0.03168124007935605,co,PIIANN,
o3:PIIANN,803,8.603094002675,10.062377863679984,0.031957732764900104,1.064410806147574,o3,PIIANN,
