model,n,MAE,RMSE,R2,Bias,target,model_family,training_time_seconds
AQI:GradientBoosting,1208,1.972310268351969,5.760923199012465,0.8598738883279313,0.07235173129636514,aqi,GradientBoosting,16.451386468000237
AQI:RandomForest,1208,1.5303790332499587,6.022498010061477,0.846860145430236,0.03751572350690771,aqi,RandomForest,21.479890953999984
AQI:LinearRegression,1208,1.8856996534673662,6.607776495886492,0.8156489610115667,0.12383206464104284,aqi,LinearRegression,0.07612636700014264
AQI:Persistence,1208,1.507864238410596,7.840306475459941,0.7404619848887006,0.13286423841059603,aqi,Persistence,0.0
AQI:GRU,1164,1.7066140379477066,3.238035172435211,0.9435485990068069,0.15972141263238618,aqi,GRU,
AQI:PINN,1164,1.609418480549693,3.1997638677268636,0.9448751449159544,0.033962958070333386,aqi,PINN,
AQI:PIIANN,1164,1.470894305419077,3.0217400517309465,0.9508384233264295,-0.2378970286052306,aqi,PIIANN,
pm10:PIIANN,1370,10.13163430360112,22.427469137332142,0.16172478170852067,-1.9938027103451916,pm10,PIIANN,
no2:PIIANN,1384,3.6572474022476658,5.635940192523066,0.12917737151604147,0.001170852453033359,no2,PIIANN,
so2:PIIANN,1358,3.4814604530426427,6.793693751466772,0.09071314372376604,0.09409282177368478,so2,PIIANN,
co:PIIANN,1409,0.2087783669078291,0.4217029085543752,0.026512460714183117,0.007219807261330943,co,PIIANN,
