model,n,MAE,RMSE,R2,Bias,target,model_family,training_time_seconds
AQI:GradientBoosting,873,3.7395477910867587,10.5480345489724,0.867068931508957,-0.0884340247011674,aqi,GradientBoosting,23.25234400499994
AQI:RandomForest,873,3.199638913966259,10.756527902360155,0.861761941841139,-0.0244785688383193,aqi,RandomForest,27.44690484900002
AQI:LinearRegression,873,3.6961964915708148,11.635232567716681,0.8382540014752409,0.021787488678295133,aqi,LinearRegression,0.07794401399996786
AQI:Persistence,873,3.02290950744559,11.906806893576311,0.8306153586764593,0.13631156930126,aqi,Persistence,0.0
AQI:GRU,861,3.3992069822589768,9.083459596100576,0.8931400158921089,-0.5802529773206093,aqi,GRU,
AQI:PINN,861,3.2621092837083236,8.99553717797046,0.8951986846747677,-0.4451078098801218,aqi,PINN,
AQI:PIIANN,861,3.2710644679881997,8.991563878730945,0.8952912450222925,-0.6797012267741994,aqi,PIIANN,
pm25:PIIANN,877,9.895401478739734,16.99986895455196,0.3893946078319501,-0.5665692866035443,pm25,PIIANN,
pm10:PIIANN,880,18.24104568764398,45.21438039411938,0.35375466802634203,0.3381456160663881,pm10,PIIANN,
no2:PIIANN,891,1.4700103913894806,2.2616012837027824,0.7960991291564787,0.10545333173004733,no2,PIIANN,
so2:PIIANN,878,1.7487117340279095,3.114869138327048,0.5118789806727262,0.08460622282745422,so2,PIIANN,
co:PIIANN,877,0.12839663650589903,0.20108241545118316,0.5309590344311793,0.006289103997610042,co,PIIANN,
o3:PIIANN,909,10.006146533261038,14.367941604869714,0.587356188250396,0.9185675431137169,o3,PIIANN,
