model,n,MAE,RMSE,R2,Bias,target,model_family,training_time_seconds
AQI:RandomForest,1474,3.153580152605928,9.598457223261821,0.917672328948746,-0.22173884005970437,aqi,RandomForest,41.78861172999996
AQI:GradientBoosting,1474,3.9323493776700578,9.627441017531561,0.9171743799767103,-0.18150373864237435,aqi,GradientBoosting,28.013127276999967
AQI:LinearRegression,1474,3.483121117109675,9.661396171284267,0.9165891120686411,-0.19306593472301345,aqi,LinearRegression,0.12241354900015722
AQI:Persistence,1474,2.78561736770692,9.752917665246366,0.9150013401782188,-0.37720488466757124,aqi,Persistence,0.0
AQI:GRU,1421,3.6180536240636587,8.138487272638148,0.9520346614038915,0.4777066456348559,aqi,GRU,
AQI:PINN,1421,4.005618240562547,8.275974750082424,0.9504003683511207,-0.05825118474187321,aqi,PINN,
AQI:PIIANN,1421,3.5948758858765752,8.082472390831294,0.9526926526344611,0.3784248997081043,aqi,PIIANN,
pm25:PIIANN,1546,14.306523312957907,30.631972062428158,0.24339807369113597,-1.3432710558600136,pm25,PIIANN,
pm10:PIIANN,1536,33.14329368621111,47.714886009476665,0.31780200181459595,1.6132374281684558,pm10,PIIANN,
no2:PIIANN,1472,11.05523864098865,17.899550011798848,0.0838422117344838,-1.4347666448549083,no2,PIIANN,
so2:PIIANN,1539,1.5826342596955079,2.2763751381188193,0.10567857649469803,-0.046156143352069814,so2,PIIANN,
co:PIIANN,1533,0.3177904274851686,0.43010034503411754,0.07592175466833562,0.018469968585896477,co,PIIANN,
o3:PIIANN,1488,8.623485184333447,12.259529826784402,0.061788512228340586,-0.5668075201564758,o3,PIIANN,
