model,n,MAE,RMSE,R2,Bias,target,model_family,training_time_seconds
AQI:RandomForest,893,4.1513739475214,10.715656142033902,0.953740495808742,0.9224258534125934,aqi,RandomForest,24.449452849999943
AQI:GradientBoosting,893,5.050969835049841,10.774819606692112,0.9532282681040117,1.0104584246696748,aqi,GradientBoosting,17.824036524999997
AQI:LinearRegression,893,4.419416322838702,10.789499792422795,0.9531007327060277,0.9462150494205376,aqi,LinearRegression,0.0976300810000339
AQI:Persistence,893,3.1668533034714446,10.847822452441156,0.9525923341923315,0.7681970884658454,aqi,Persistence,0.0
AQI:GRU,867,5.7674415035325,15.581072077819847,0.90834588176921,-0.20742989846228171,aqi,GRU,
AQI:PINN,867,5.7975468944502975,15.229554310837644,0.9124347688653829,-0.670262326229603,aqi,PINN,
AQI:PIIANN,867,5.792272848251292,15.178131001252734,0.9130251068070747,-0.5443863934195248,aqi,PIIANN,
pm25:PIIANN,923,14.227635526708767,20.52356493779751,0.5338212615088698,1.5019277632559367,pm25,PIIANN,
pm10:PIIANN,922,25.88719069466415,38.05918398170595,0.5249030784218893,-3.5262116723877748,pm10,PIIANN,
no2:PIIANN,932,7.3739929782474505,10.326263104838889,0.22378352832087134,0.03123091116483631,no2,PIIANN,
so2:PIIANN,934,5.2198783999081595,7.375547148045939,0.11905876695144502,0.3054219486881885,so2,PIIANN,
co:PIIANN,930,0.206157796581451,0.27709530014109063,0.25861331604999027,0.020993383757394533,co,PIIANN,
o3:PIIANN,934,19.19674009480364,24.88849251423029,0.3358711797030268,-2.0407483108038567,o3,PIIANN,
