model,n,MAE,RMSE,R2,Bias,target,model_family,training_time_seconds
AQI:RandomForest,1051,4.451140383745663,12.750838882928623,0.9573067853409427,-0.21672623102355482,aqi,RandomForest,27.292882471999974
AQI:GradientBoosting,1051,6.2821649060933735,14.154727570771731,0.9473880533579774,-0.4442090748281595,aqi,GradientBoosting,21.083189114999982
AQI:Persistence,1051,3.829686013320647,14.251078714575257,0.9466693571781748,-0.5851569933396765,aqi,Persistence,0.0
AQI:LinearRegression,1051,5.728417263144405,14.345425144084231,0.9459608899749141,-0.29436210362924853,aqi,LinearRegression,0.09283415900006275
AQI:GRU,1035,6.967132860133085,14.579360667887045,0.9503384742251476,0.4936950409022032,aqi,GRU,
AQI:PINN,1035,6.772286994868422,14.303886169930054,0.9521974362195761,-0.45703131799984803,aqi,PINN,
AQI:PIIANN,1035,6.359499204728593,13.529055820838074,0.9572360240858451,-0.5572058800210022,aqi,PIIANN,
pm25:PIIANN,1068,14.96076221992907,23.464511983620834,0.7368394386152269,2.5209847635097717,pm25,PIIANN,
pm10:PIIANN,1056,29.641492108447533,45.25386364059231,0.7102430659691857,1.6890049901311144,pm10,PIIANN,
no2:PIIANN,1070,8.856185006761105,13.13959046115322,0.6584097365165573,-0.8599291715666513,no2,PIIANN,
so2:PIIANN,1065,2.352549509438271,4.22589406106381,0.7951920045965104,0.0011196458353682863,so2,PIIANN,
co:PIIANN,1067,0.30532359713588864,0.48069981897562886,0.5702529661055611,0.015488774748351959,co,PIIANN,
o3:PIIANN,1065,11.461906654448708,14.726729776442676,0.6441785275628323,0.4733155048563814,o3,PIIANN,
