model,n,MAE,RMSE,R2,Bias,target,model_family,training_time_seconds
AQI:RandomForest,1664,4.701328142123499,12.457676104359669,0.952355224928681,0.323783423031632,aqi,RandomForest,45.70487325300007
AQI:GradientBoosting,1664,6.325985808147745,13.758822278469735,0.9418829271159866,0.3019269158097897,aqi,GradientBoosting,31.42559892600002
AQI:LinearRegression,1664,5.560856358761782,14.979531194750448,0.9311129393592308,0.5066515283589372,aqi,LinearRegression,0.156814150999935
AQI:Persistence,1664,4.768028846153846,15.020818885799802,0.9307326728048035,0.3058894230769231,aqi,Persistence,0.0
AQI:GRU,1631,5.9690441554818765,12.552706863370807,0.9490472889835837,-0.1583712465010149,aqi,GRU,
AQI:PINN,1631,5.955144883339531,12.740980289775441,0.9475073848273434,-0.4621248192655489,aqi,PINN,
AQI:PIIANN,1631,5.739947288515605,12.47425542383559,0.9496821835031924,0.22785568119953076,aqi,PIIANN,
pm25:PIIANN,1681,19.154053962918564,31.541337224040475,0.37411490294428507,5.996963025274056,pm25,PIIANN,
pm10:PIIANN,1680,39.54442826793307,56.76268048924121,0.37032081612945644,1.767317931992667,pm10,PIIANN,
no2:PIIANN,1646,11.556671802583688,17.062559879634666,0.1520012336194445,-0.8408212933241235,no2,PIIANN,
so2:PIIANN,1681,6.607307043336531,8.688099233057505,0.04332689446855631,0.03603035534229539,so2,PIIANN,
co:PIIANN,1676,0.44552047548326085,0.643372176882327,0.15189815038766563,0.01425978492789314,co,PIIANN,
o3:PIIANN,1683,25.993621664623102,33.251370255610574,0.1770322309702309,0.46696569343372535,o3,PIIANN,
