model,n,MAE,RMSE,R2,Bias,target,model_family,training_time_seconds
AQI:Persistence,664,4.405120481927711,13.374303269771,0.9706560856369499,0.13403614457831325,aqi,Persistence,0.0
AQI:RandomForest,664,5.731250522858199,13.961862274756376,0.9680211816453076,0.6626912453515402,aqi,RandomForest,16.28338929000006
AQI:LinearRegression,664,7.12677364456347,14.255161700422022,0.9666634994190393,0.6444313949370705,aqi,LinearRegression,0.0747446249999939
AQI:GradientBoosting,664,7.9434105655039255,14.65422699024084,0.9647709005500414,0.9376891462616593,aqi,GradientBoosting,12.664501607000034
AQI:GRU,644,8.430701149517379,16.95899915806442,0.9540316664697521,0.2994532868824151,aqi,GRU,
AQI:PINN,644,8.151108378279462,16.205056752043937,0.9580280221349244,2.049302430117995,aqi,PINN,
AQI:PIIANN,644,7.546702058426919,15.662378204459824,0.9607920860709801,0.7353955413339059,aqi,PIIANN,
pm25:PIIANN,689,27.069090575888126,56.4669164939729,0.19550308942917605,-4.320921093874296,pm25,PIIANN,
pm10:PIIANN,688,43.44468337990517,64.91535384958618,0.3002440252699987,-9.592667407767717,pm10,PIIANN,
no2:PIIANN,693,9.2294793377535,14.838826164568365,0.297890096342192,1.003723310443746,no2,PIIANN,
so2:PIIANN,687,4.9860387640575485,9.318221323993575,0.07656697946032753,0.48840504659141865,so2,PIIANN,
co:PIIANN,686,0.5436751736570197,0.7946031541283899,0.10867743012203002,0.08875406623277572,co,PIIANN,
o3:PIIANN,696,23.341230258174328,32.140526063554624,0.269195582471634,1.5221467484002826,o3,PIIANN,
