model,n,MAE,RMSE,R2,Bias,target,model_family,training_time_seconds
AQI:RandomForest,687,6.5389660890843135,17.19197113718904,0.9433163392668515,-0.19717598315416748,aqi,RandomForest,16.582723380999937
AQI:GradientBoosting,687,9.043613864484257,18.41555473479285,0.9349606556304544,-0.4201691293572453,aqi,GradientBoosting,12.986764024999957
AQI:LinearRegression,687,9.206155362362553,19.47138399044048,0.9272889885061872,-1.0260908179720285,aqi,LinearRegression,0.05213742099999763
AQI:Persistence,687,6.580786026200873,21.68623011081488,0.9098066191094859,-1.2940320232896652,aqi,Persistence,0.0
AQI:GRU,678,7.710964320692202,14.6654295861049,0.9541244556649607,-0.9705299072505338,aqi,GRU,
AQI:PINN,678,7.533581517172866,14.838678775044398,0.953034157309823,-1.451372069976382,aqi,PINN,
AQI:PIIANN,678,7.170399351854847,14.584025967129067,0.9546323263572601,-0.9171705520554518,aqi,PIIANN,
pm25:PIIANN,717,12.394773046092508,32.89130429269094,0.602730278320041,-1.0795570795672376,pm25,PIIANN,
pm10:PIIANN,717,21.721282854572333,43.8761294392134,0.6767522841002811,0.05298058191935221,pm10,PIIANN,
no2:PIIANN,680,4.91407927012838,9.532342880068244,0.6587134742260049,-0.09796812024844044,no2,PIIANN,
so2:PIIANN,716,4.008453003687484,9.719974232641773,0.6208902445858159,-0.06191674948729478,so2,PIIANN,
co:PIIANN,710,0.22734157620896386,0.4431838268444706,0.7409549919173095,-0.022759370721128987,co,PIIANN,
o3:PIIANN,718,13.0238227579421,17.553044009784415,0.7824358220276062,0.4694598762935915,o3,PIIANN,
