model,n,MAE,RMSE,R2,Bias,target,model_family,training_time_seconds
AQI:RandomForest,1623,3.772658638826489,11.583518248623395,0.9638967939110656,-0.3681424834419471,aqi,RandomForest,43.99989112500003
AQI:GradientBoosting,1623,5.510322509402205,12.315619527921898,0.9591889918492468,-0.18716306021079554,aqi,GradientBoosting,38.850845470000024
AQI:Persistence,1623,3.0129390018484288,12.46572627185855,0.9581880936947572,-0.20948860135551448,aqi,Persistence,0.0
AQI:LinearRegression,1623,4.533446390193968,12.61482939106083,0.9571818835790673,-0.24666952982656457,aqi,LinearRegression,0.1374968009999975
AQI:GRU,1576,5.074929751139878,11.20570701098977,0.9653233176795386,-0.45403192239964046,aqi,GRU,
AQI:PINN,1576,5.516156543480234,11.435883477579468,0.9638840987453534,0.003385652836258845,aqi,PINN,
AQI:PIIANN,1576,4.5411293385168925,9.738454129695597,0.9738097852380873,-0.7174606927457254,aqi,PIIANN,
pm25:PIIANN,1659,7.343071019545314,17.192592855768517,0.7769909508355717,-0.42266224059733803,pm25,PIIANN,
pm10:PIIANN,1659,13.148366046282382,22.543852004375015,0.8475354796181469,0.5368699734292884,pm10,PIIANN,
no2:PIIANN,1641,4.300540458494973,6.617372172313413,0.810962416499603,0.40903530013336054,no2,PIIANN,
so2:PIIANN,1654,2.360111896570281,5.284271022783832,0.541650243252823,-0.1462019526747651,so2,PIIANN,
co:PIIANN,1665,0.10433928817230928,0.18411038468037055,0.8148202232058167,-0.0009639127370160264,co,PIIANN,
o3:PIIANN,1661,6.005677098076407,8.905400860101249,0.8620521993269821,0.3273744129220866,o3,PIIANN,
