model,n,MAE,RMSE,R2,Bias,target,model_family,training_time_seconds
AQI:RandomForest,1471,4.000605402590819,11.515358123655215,0.9350103295432742,0.051051017430943244,aqi,RandomForest,53.62975561299993
AQI:LinearRegression,1471,4.634788972249078,11.956981486572127,0.9299299301248802,-0.09615321175001437,aqi,LinearRegression,0.18113240499997119
AQI:GradientBoosting,1471,5.230668474380095,12.376299365165853,0.9249291992159977,-0.08133379315205413,aqi,GradientBoosting,44.35397948499997
AQI:Persistence,1471,3.634262406526173,12.420132337763533,0.9243965030761674,-0.10605030591434399,aqi,Persistence,0.0
AQI:GRU,1406,5.4800483917037335,12.006688132073597,0.9349807079903836,-0.4481915432518887,aqi,GRU,
AQI:PINN,1406,5.396059601382121,12.059786659036035,0.9344043521088197,-0.571458152682541,aqi,PINN,
AQI:PIIANN,1406,5.268812711414838,11.343009556374177,0.9419700265660174,0.28878306033866274,aqi,PIIANN,
pm25:PIIANN,1465,14.921481172196287,42.82669351381775,0.2949124001959388,-1.4720179268321079,pm25,PIIANN,
pm10:PIIANN,1452,22.55420175789966,50.96551285591633,0.3591258787647311,-0.03501900632355167,pm10,PIIANN,
no2:PIIANN,1514,7.259143257741244,18.020221578519795,0.6234668625564366,-0.07715752576028773,no2,PIIANN,
so2:PIIANN,1551,2.7597049133981826,5.370947694958946,0.8128929220492904,0.21255903225512196,so2,PIIANN,
co:PIIANN,1571,0.3658239465120931,0.6600490900198931,0.5269820040756179,-0.025218443679996858,co,PIIANN,
o3:PIIANN,1553,7.743389696604827,12.921203002353613,0.6500156735023899,-0.10856090738640166,o3,PIIANN,
