model,n,MAE,RMSE,R2,Bias,target,model_family,training_time_seconds
AQI:RandomForest,1434,2.4153287262426777,6.682768221673814,0.9568434788064412,0.34667975932123224,aqi,RandomForest,27.214278981999996
AQI:GradientBoosting,1434,3.2130504278072545,7.276978985469008,0.9488275897038925,0.3101794768534432,aqi,GradientBoosting,19.78742289900015
AQI:LinearRegression,1434,2.6288623059891716,7.337831434127949,0.947968170850755,0.2649558814528013,aqi,LinearRegression,0.4175348460000805
AQI:Persistence,1434,2.259065550906555,7.520508918504481,0.9453452272250304,0.23605299860529985,aqi,Persistence,0.0
AQI:GRU,1437,3.081373168318489,7.34870220246813,0.9500982365309426,0.5526833324009935,aqi,GRU,
AQI:PINN,1437,2.9010963831796204,7.162967056977077,0.9525888484287339,-0.4298509049449787,aqi,PINN,
AQI:PIIANN,1437,2.8026299674720008,7.1134932856938455,0.9532415131777301,-0.1908691071618844,aqi,PIIANN,
pm25:PIIANN,1532,10.523293159026702,19.14531513207592,0.3870483161135987,-1.4801705910705087,pm25,PIIANN,
pm10:PIIANN,1526,21.045399705829347,40.79664897144213,0.4279154158105767,-1.8305419869379167,pm10,PIIANN,
no2:PIIANN,1348,4.06095337125166,5.578184688112226,0.5825183712518168,-0.16541570513744117,no2,PIIANN,
so2:PIIANN,1550,3.923630836509889,6.5471456230176,0.4857997754242529,0.013606254631473172,so2,PIIANN,
