model,n,MAE,RMSE,R2,Bias,target,model_family,training_time_seconds
AQI:LinearRegression,1463,3.117240322650537,8.860717484887562,0.9091442637783309,-0.36053204869744787,aqi,LinearRegression,0.1527022750001379
AQI:RandomForest,1463,2.8217709753947537,9.104238886812562,0.9040816141215946,-0.36075792280898406,aqi,RandomForest,41.934797075999995
AQI:GradientBoosting,1463,3.4891455730536047,9.160745448755337,0.9028872609679455,-0.31332914486339647,aqi,GradientBoosting,29.76505737699995
AQI:Persistence,1463,2.3913192071086806,9.164881037376043,0.9027995587180888,-0.24367737525632263,aqi,Persistence,0.0
AQI:GRU,1426,3.3554954044403438,7.838502046072071,0.9247030198761242,0.28346260489477565,aqi,GRU,
AQI:PINN,1426,3.4853952696052835,7.873669550161049,0.9240258631966727,0.09186495794343455,aqi,PINN,
AQI:PIIANN,1426,3.2519542157088486,7.623255691393862,0.9287815725541593,0.0834316226512123,aqi,PIIANN,
pm25:PIIANN,1399,5.69466929716072,11.0709534700748,0.7890000025023542,-0.07238078275009766,pm25,PIIANN,
pm10:PIIANN,1543,13.095148913055292,20.23899595117009,0.7960307686373393,0.48005299759776426,pm10,PIIANN,
no2:PIIANN,1592,2.0758821796813054,3.8449501581215846,0.6289439324327154,-0.03398129691243471,no2,PIIANN,
so2:PIIANN,1532,1.538990311390251,2.7848910092830246,0.7856616634303262,0.04129277182105861,so2,PIIANN,
co:PIIANN,1525,0.16402245320257594,0.27495093243255336,0.4930044091844016,-0.007508790825234085,co,PIIANN,
o3:PIIANN,1450,4.006806833497409,7.213120825971698,0.8048066540319698,-0.12380307033144194,o3,PIIANN,
