model,n,MAE,RMSE,R2,Bias,target,model_family,training_time_seconds
AQI:RandomForest,1456,3.8691827240320023,10.474342371769197,0.8726740865814453,0.28936385839381074,aqi,RandomForest,52.72797364999997
AQI:GradientBoosting,1456,4.720819532142521,10.971439433871886,0.8603019031864324,0.324866425491428,aqi,GradientBoosting,43.969182605000015
AQI:LinearRegression,1456,4.487752974491474,11.431021777291155,0.8483531569220355,0.3708546820608835,aqi,LinearRegression,0.166870094999922
AQI:Persistence,1456,3.768543956043956,12.681755520310391,0.8133525664386481,0.48626373626373626,aqi,Persistence,0.0
AQI:GRU,1437,4.382390376554424,10.010181368282662,0.8897796302517997,0.2973353180786698,aqi,GRU,
AQI:PINN,1437,4.293614283367661,9.950020816856787,0.8911004839469412,0.5281785103470997,aqi,PINN,
AQI:PIIANN,1437,4.214813132109582,9.917361075007424,0.891814209685366,0.42571465339583686,aqi,PIIANN,
pm25:PIIANN,1556,12.97585596795407,17.318432013480457,0.20237005296428368,1.8106482129706822,pm25,PIIANN,
pm10:PIIANN,1487,23.61623093034889,36.234323285210685,0.26353586522156647,2.5887600588333552,pm10,PIIANN,
no2:PIIANN,1588,4.765334990358224,6.2375422170527095,0.1579013113955664,0.6662964002465036,no2,PIIANN,
so2:PIIANN,1569,6.8424445191663,13.348731883954828,0.08742311917595202,0.18495212526905302,so2,PIIANN,
co:PIIANN,1629,0.5077743689280175,0.7523876743021971,0.1608584827680366,-0.013871853428915655,co,PIIANN,
o3:PIIANN,1490,11.340661037113243,15.49725929288512,0.13292250090149138,1.4249802631669797,o3,PIIANN,
