model,n,MAE,RMSE,R2,Bias,target,model_family,training_time_seconds
AQI:RandomForest,1096,3.0454870391519364,9.127596821690672,0.9332585665524501,0.1400395049064335,aqi,RandomForest,32.858790234000026
AQI:LinearRegression,1096,3.5763946099924215,9.621440890764116,0.9258411706825874,0.27672861852004565,aqi,LinearRegression,0.11750051599983635
AQI:GradientBoosting,1096,4.123061561104374,9.689989642502304,0.9247807049729264,0.32608736646885267,aqi,GradientBoosting,24.734803958000157
AQI:Persistence,1096,2.7344890510948905,9.784773289206443,0.923301977210923,0.3458029197080292,aqi,Persistence,0.0
AQI:GRU,1050,3.5326064370719914,7.753850058859285,0.9514445135113268,0.022304656826735363,aqi,GRU,
AQI:PINN,1050,3.482800981783977,7.782981535383249,0.9510789789309546,0.07173165841655588,aqi,PINN,
AQI:PIIANN,1050,3.2627237539058482,7.128007691442339,0.9589663800216582,0.3270041186274469,aqi,PIIANN,
pm25:PIIANN,1593,7.0327232166135545,17.694327233619088,0.665786458071677,0.39024680506669535,pm25,PIIANN,
pm10:PIIANN,1636,19.808273520621228,51.58309615354548,0.4105761106097271,0.5601127409993291,pm10,PIIANN,
no2:PIIANN,1629,1.4601802375919983,2.2897609352167114,0.7677093486484994,0.04285467743525994,no2,PIIANN,
so2:PIIANN,1613,1.159804460337941,1.7771931262782565,0.6680437867623266,0.08010738177175339,so2,PIIANN,
co:PIIANN,1556,0.10044340041616551,0.22718353893941,0.5849513574782385,-0.005991031018431511,co,PIIANN,
o3:PIIANN,1599,4.343436298806866,8.751913815912605,0.6797242841354345,-0.11229902410587346,o3,PIIANN,
