model,n,MAE,RMSE,R2,Bias,target,model_family,training_time_seconds
AQI:RandomForest,1501,2.63632575312896,5.848088671388292,0.9651043818956122,-0.013609336279350341,aqi,RandomForest,45.6698235089998
AQI:Persistence,1501,2.294470353097935,6.125981409905708,0.9617092082457852,0.07994670219853431,aqi,Persistence,0.0
AQI:LinearRegression,1501,2.7992837626866005,6.127513378808577,0.9616900545353466,-0.06569468214986848,aqi,LinearRegression,0.16095262299995738
AQI:GradientBoosting,1501,3.4179707775614743,6.756888475874708,0.9534160298174649,-0.13804636549427146,aqi,GradientBoosting,32.58312877899971
AQI:GRU,1474,3.0324816581596865,7.758976645356493,0.9230130697189617,-0.4048156990743545,aqi,GRU,
AQI:PINN,1474,3.199994453983368,7.839547835567086,0.9214058642113663,0.10509384404975768,aqi,PINN,
AQI:PIIANN,1474,3.0902435089247366,7.8206606255547015,0.9217841094434045,-0.14399593916198017,aqi,PIIANN,
pm25:PIIANN,1571,11.821182628409412,20.90875063832098,0.24843346079010487,-0.3726042271570974,pm25,PIIANN,
pm10:PIIANN,1582,22.171996742373924,39.28443095057563,0.2505824778280573,-0.2461528199361037,pm10,PIIANN,
no2:PIIANN,1502,8.902547571292214,12.916575587235,0.20107978563677886,-0.8790255325502864,no2,PIIANN,
so2:PIIANN,1529,2.145319739701391,3.923588032643299,0.028308837959123756,0.026416085616602,so2,PIIANN,
co:PIIANN,1541,0.2920436524742355,0.4067608916948929,0.23529119187557157,-0.002102230003546443,co,PIIANN,
o3:PIIANN,1330,4.902115222184282,8.487577331731263,0.12020296605457115,-0.4544055754304829,o3,PIIANN,
