model,n,MAE,RMSE,R2,Bias,target,model_family,training_time_seconds
AQI:RandomForest,1460,2.968652217332935,9.448990109803967,0.9200696986283081,-0.28913271935147256,aqi,RandomForest,50.08882303400014
AQI:LinearRegression,1460,4.01415485282442,9.986292745988788,0.9107210142322768,-0.45896984688048587,aqi,LinearRegression,0.13152123800000481
AQI:Persistence,1460,2.6866438356164384,11.054743914433233,0.8905947823062385,-0.44554794520547947,aqi,Persistence,0.0
AQI:GradientBoosting,1460,4.201860849648718,11.494935292266351,0.8817084497653211,-0.30504543717882077,aqi,GradientBoosting,41.84945825199975
AQI:GRU,1406,4.3745608957664075,11.459563449080411,0.8807316834709681,0.5186711289641678,aqi,GRU,
AQI:PINN,1406,4.679447489740824,11.740890308910542,0.8748038414672775,0.4451442567932298,aqi,PINN,
AQI:PIIANN,1406,4.391347597264684,11.685674480952668,0.8759786338999311,0.36393350856298895,aqi,PIIANN,
pm25:PIIANN,1571,8.350841576623584,12.30623624717027,0.5032158705242121,0.6566867789669754,pm25,PIIANN,
pm10:PIIANN,1455,12.883614757052811,35.46728854699244,0.327971144449142,0.15638443858353132,pm10,PIIANN,
no2:PIIANN,1586,3.142239620620185,5.848948815141935,0.6948282007608824,-0.19770552252253698,no2,PIIANN,
so2:PIIANN,1553,3.971647031744972,7.009249072298613,0.764329652389782,0.03826229861551861,so2,PIIANN,
co:PIIANN,1627,0.2253264221085546,0.39901134585731807,0.41914154330441,7.951471067889536e-05,co,PIIANN,
o3:PIIANN,1588,9.002957448240144,13.85731675988361,0.6745316643033221,0.5093669344000143,o3,PIIANN,
