model,n,MAE,RMSE,R2,Bias,target,model_family,training_time_seconds
AQI:RandomForest,1602,8.267616142129153,23.74930389516768,0.9526989430923414,0.45513932823785236,aqi,RandomForest,35.98226100299985
AQI:GradientBoosting,1602,11.627669415725553,24.856533751467403,0.9481856317323868,-0.15223086412114048,aqi,GradientBoosting,28.110332943999992
AQI:LinearRegression,1602,10.146778390586352,28.05886036427849,0.9339748903788323,0.6487775068650852,aqi,LinearRegression,0.3750717400000667
AQI:Persistence,1602,7.989700374531835,28.34757022793515,0.9326091777815096,0.11579275905118602,aqi,Persistence,0.0
AQI:GRU,1547,10.131534450622338,19.255371549976896,0.968503709365092,-1.2752425472340727,aqi,GRU,
AQI:PINN,1547,9.476616640809063,17.940703507585766,0.972657731672597,-2.32486602366815,aqi,PINN,
AQI:PIIANN,1547,8.420825431103413,16.653631052241032,0.976440097927133,-0.018931815502837908,aqi,PIIANN,
pm25:PIIANN,1651,19.013821418613176,29.30300122013403,0.9016737773747868,-0.7205290374143567,pm25,PIIANN,
pm10:PIIANN,1634,39.52542908174171,59.396745912840736,0.8345476160575954,-2.9780006728236503,pm10,PIIANN,
no2:PIIANN,1667,6.29179433125826,9.239755197804204,0.8048506495238783,0.20035296996768248,no2,PIIANN,
so2:PIIANN,1632,2.865549033909452,5.247495655720625,0.7681076801144512,-0.140796368320783,so2,PIIANN,
co:PIIANN,1653,0.19672366626734847,0.3721861581794525,0.7251025803202222,0.010316559834061639,co,PIIANN,
o3:PIIANN,1652,8.42926687118541,12.134831773324466,0.9035842463751218,-0.5630575074987897,o3,PIIANN,
