model,n,MAE,RMSE,R2,Bias,target,model_family,training_time_seconds
AQI:RandomForest,1511,8.475358058556644,22.317961048928115,0.9568976964150836,0.9865873417429077,aqi,RandomForest,41.99353469700009
AQI:GradientBoosting,1511,12.051607772671463,25.671979804073644,0.942969106491447,1.037213054582413,aqi,GradientBoosting,33.589963430000125
AQI:LinearRegression,1511,9.964195723775708,26.06084619943493,0.9412282696524871,1.265597057116381,aqi,LinearRegression,0.1289450859999306
AQI:Persistence,1511,8.124090006618134,26.717326204609144,0.9382300233870479,1.1730641958967571,aqi,Persistence,0.0
AQI:GRU,1480,11.190492629302097,26.947975466147433,0.9356730845114215,-0.2373676209881047,aqi,GRU,
AQI:PINN,1480,11.309450320947786,26.447194377073135,0.9380416769212601,0.5062525040349898,aqi,PINN,
AQI:PIIANN,1480,10.615580607848155,24.848898741042582,0.9453041049808351,0.3555861331276445,aqi,PIIANN,
pm25:PIIANN,1610,24.71467872556322,41.17792425447118,0.8470380641297671,-1.0344872593324377,pm25,PIIANN,
pm10:PIIANN,1586,56.59859428309552,86.49261874904757,0.7826094778132038,-1.922426606186702,pm10,PIIANN,
no2:PIIANN,1593,14.515500310544166,24.218855093283594,0.7895729462848863,0.4617486530067183,no2,PIIANN,
so2:PIIANN,1566,4.358826502658055,7.2463421890837445,0.7532362565860211,0.4365120890049566,so2,PIIANN,
co:PIIANN,1527,0.37178520465542847,0.6026648249515243,0.756689669158507,0.002047686173757367,co,PIIANN,
o3:PIIANN,1603,8.073923453265662,16.292958686974575,0.7624885677390211,-0.46378902278966033,o3,PIIANN,
