model,n,MAE,RMSE,R2,Bias,target,model_family,training_time_seconds
AQI:RandomForest,1558,7.075904105266157,20.482820267609014,0.9668340157807811,0.09280295058613677,aqi,RandomForest,41.47670171200002
AQI:GradientBoosting,1558,10.982397908753082,22.356803986546208,0.9604876536789837,0.009671288056938177,aqi,GradientBoosting,32.38103953399991
AQI:LinearRegression,1558,9.005767402842304,22.468186166436343,0.9600929698820319,0.17271706654391952,aqi,LinearRegression,0.5101920519998657
AQI:Persistence,1558,6.372593068035943,22.819479804250257,0.9588353088506018,-0.00417201540436457,aqi,Persistence,0.0
AQI:GRU,1531,10.457014724007701,22.098858193981314,0.9586231602150891,-1.224365833829042,aqi,GRU,
AQI:PINN,1531,10.121378069837512,21.523441435745244,0.9607498723542345,-1.5186038520866862,aqi,PINN,
AQI:PIIANN,1531,9.487971202086511,19.444147173189375,0.9679671598335468,0.22572647686151087,aqi,PIIANN,
pm25:PIIANN,1657,19.372070339982166,32.07704505962326,0.88667907206565,0.05127188852916803,pm25,PIIANN,
pm10:PIIANN,1657,36.92499107773504,58.29270927190613,0.839971670664192,-3.4679005617971654,pm10,PIIANN,
no2:PIIANN,1671,7.368710729422272,11.558047474322251,0.8416104958586792,0.040624204528128434,no2,PIIANN,
so2:PIIANN,1672,2.9504157060570124,5.812251365826546,0.7986966416932694,0.04685442074776837,so2,PIIANN,
co:PIIANN,1664,0.2917967434819217,0.49993553683805014,0.7593705758107152,-0.01073924783569621,co,PIIANN,
o3:PIIANN,1679,7.828502961616916,12.778937529520471,0.8811672370159223,0.34195796060839034,o3,PIIANN,
