model,n,MAE,RMSE,R2,Bias,target,model_family,training_time_seconds
AQI:RandomForest,1241,7.146774232970726,22.35835844502533,0.9424165562567026,1.1879204338244425,aqi,RandomForest,16.62137159200006
AQI:GradientBoosting,1241,10.382127105583129,24.21174816533481,0.9324741435346335,0.6899107865056757,aqi,GradientBoosting,14.619527811000125
AQI:LinearRegression,1241,8.380817022084395,25.05555694694299,0.9276854102024795,0.7163248709716036,aqi,LinearRegression,0.060571199999913006
AQI:Persistence,1241,6.695406929895245,25.757547418043274,0.9235765179712161,0.1990330378726833,aqi,Persistence,0.0
AQI:GRU,1246,10.823416379936114,24.282053498783686,0.9265859569517251,3.1319654769570735,aqi,GRU,
AQI:PINN,1246,10.501334844899251,23.345808108902258,0.9321380801481374,1.1313705403229304,aqi,PINN,
AQI:PIIANN,1246,9.16331175813525,20.62764906224512,0.9470205083049035,0.49792948169410717,aqi,PIIANN,
pm25:PIIANN,1649,19.731633131222303,34.743813298413095,0.7039026591337103,0.41663192340447874,pm25,PIIANN,
pm10:PIIANN,1676,33.301301730703344,50.05800931684208,0.7879672360890185,2.883191456231411,pm10,PIIANN,
no2:PIIANN,1665,3.536861624141355,6.901059149778501,0.8184513057646876,-0.11105205259165607,no2,PIIANN,
co:PIIANN,1681,0.17165547894544794,0.42485806646604213,0.8473468875570802,0.005274184953093232,co,PIIANN,
o3:PIIANN,1665,7.719049239498717,13.95069227512561,0.8390488790397909,-0.21167524124051,o3,PIIANN,
