model,n,MAE,RMSE,R2,Bias,target,model_family,training_time_seconds
AQI:RandomForest,1629,8.345865841629028,22.568246127409157,0.9591088891356095,1.3037730597637083,aqi,RandomForest,44.80672103200004
AQI:GradientBoosting,1629,11.576176349374947,24.38010433085195,0.9522795632941622,0.8031256998505605,aqi,GradientBoosting,35.20954937700003
AQI:LinearRegression,1629,9.34652392521444,24.837725062682704,0.9504713009535718,1.0628860792719725,aqi,LinearRegression,0.13706691700008378
AQI:Persistence,1629,7.266114180478821,25.135858595922382,0.9492751538000035,0.6761817065684469,aqi,Persistence,0.0
AQI:GRU,1607,10.547187451887599,24.218909266334656,0.9527968827113674,0.6575168638569147,aqi,GRU,
AQI:PINN,1607,10.483639008060091,24.06218927082827,0.9534058066860971,-1.2144808910596248,aqi,PINN,
AQI:PIIANN,1607,9.60866702469273,21.26260560493573,0.9636173367026208,-1.0887752385318956,aqi,PIIANN,
pm25:PIIANN,1682,22.737896986722095,36.60301944334572,0.8675554205696391,-1.2526777468169912,pm25,PIIANN,
pm10:PIIANN,1675,45.860459346664484,69.22931295295986,0.8039422412462465,-3.3176369366361134,pm10,PIIANN,
no2:PIIANN,1683,3.832638970688561,6.122983617578614,0.8423839521207609,-0.12943040943896564,no2,PIIANN,
so2:PIIANN,1681,1.9030463466834076,3.9183711451250463,0.8020535273090472,0.034276526112160394,so2,PIIANN,
co:PIIANN,1678,0.15627052278449657,0.251267690258514,0.7891458416689632,-0.007608784719709531,co,PIIANN,
o3:PIIANN,1685,7.263742477860639,11.798818730268255,0.8728185850579826,0.23740761410900962,o3,PIIANN,
