model,n,MAE,RMSE,R2,Bias,target,model_family,training_time_seconds
AQI:RandomForest,1017,7.626923097168813,23.229786637722164,0.9490091093564577,-0.22694888289260817,aqi,RandomForest,12.546905565000088
AQI:LinearRegression,1017,9.190125268039592,24.602211804546073,0.9428060011709835,-0.4512321213766648,aqi,LinearRegression,0.073313121999945
AQI:GradientBoosting,1017,11.391703135076469,24.62324740134079,0.9427081543387764,-0.4117910408247562,aqi,GradientBoosting,10.914289625000038
AQI:Persistence,1017,6.940019665683383,24.784062503531533,0.9419573613724234,-1.1091445427728615,aqi,Persistence,0.0
AQI:GRU,981,10.210431934228819,24.953659438386968,0.9385202779738401,0.9157345537804827,aqi,GRU,
AQI:PINN,981,9.97895211100782,25.12489185373982,0.9376736333645799,-2.2354020409082516,aqi,PINN,
AQI:PIIANN,981,9.791730582879046,25.066578446482744,0.9379626093437485,0.8614118492747569,aqi,PIIANN,
pm25:PIIANN,1300,37.851093018502,58.75674267061779,0.5592788881724231,5.75193882345007,pm25,PIIANN,
pm10:PIIANN,1300,68.1899786729079,98.74019605857704,0.5103558119894629,1.8345174936147837,pm10,PIIANN,
no2:PIIANN,1077,11.664174484128795,18.93128112798201,0.4532253814643523,0.9091118761271709,no2,PIIANN,
co:PIIANN,1359,0.5631363682927986,0.7839004992017444,0.517445241280948,0.02438135966405999,co,PIIANN,
o3:PIIANN,1245,14.776475524088465,22.225921220175838,0.394310063491481,0.079597856864393,o3,PIIANN,
