model,n,MAE,RMSE,R2,Bias,target,model_family,training_time_seconds
AQI:RandomForest,1041,7.645254034662775,22.680586818762105,0.9485509531022305,0.2484829651950305,aqi,RandomForest,25.41053349999993
AQI:GradientBoosting,1041,10.514324168135898,23.961501517836407,0.9425755534641461,0.07914816745390896,aqi,GradientBoosting,22.27476464600022
AQI:LinearRegression,1041,8.446936183366807,24.359019840145645,0.9406544200654037,0.0928721506176713,aqi,LinearRegression,0.07335609699975976
AQI:Persistence,1041,7.232468780019213,24.761513783319035,0.9386770352927812,0.2641690682036503,aqi,Persistence,0.0
AQI:GRU,1019,9.523038877075553,20.802608628379268,0.9568863816261338,-0.6869363061256706,aqi,GRU,
AQI:PINN,1019,9.61963617399313,20.556304585541024,0.9579012729384554,0.06430195434003189,aqi,PINN,
AQI:PIIANN,1019,9.44187880613316,20.19598542274667,0.9593641851128516,-0.4015684096834631,aqi,PIIANN,
pm25:PIIANN,1022,33.19334689395068,49.62537690401773,0.4879055858776956,1.7019159282956804,pm25,PIIANN,
pm10:PIIANN,1111,78.23866880143902,114.23756584658585,0.5181863184607787,-5.613942819281165,pm10,PIIANN,
no2:PIIANN,1084,28.867496575600025,47.63519057200664,0.18221757497051339,-1.8772394870445681,no2,PIIANN,
so2:PIIANN,1110,8.439176138795846,11.299230030372755,0.14616906534342555,0.1225267078593239,so2,PIIANN,
co:PIIANN,1076,0.6511611039489091,0.8969170386065854,0.21597639989724293,-0.0037373704802675205,co,PIIANN,
o3:PIIANN,1066,13.961993911895922,21.50532507843837,0.18217546186343092,-1.545381424155289,o3,PIIANN,
