model,n,MAE,RMSE,R2,Bias,target,model_family,training_time_seconds
AQI:RandomForest,1315,6.872582143471313,18.73655391981186,0.9672001211977016,-0.26786668836512717,aqi,RandomForest,18.745121799000117
AQI:GradientBoosting,1315,10.792230808381655,20.856775160365913,0.9593568721563485,-0.3046693629319606,aqi,GradientBoosting,14.885082804000149
AQI:LinearRegression,1315,8.681206253207678,21.79589934322432,0.9556143696750862,0.056160435057457006,aqi,LinearRegression,0.06777925200003665
AQI:Persistence,1315,6.653231939163498,23.01988725266645,0.9504892860528654,-0.4585551330798479,aqi,Persistence,0.0
AQI:GRU,1292,10.556824762159504,23.400227722579483,0.9456046429022471,-0.7348950401718332,aqi,GRU,
AQI:PINN,1292,9.883326352558589,22.73429366012982,0.9486566034378654,1.6646075649357133,aqi,PINN,
AQI:PIIANN,1292,9.77005051512529,22.092844131232034,0.951513043826319,0.40897649602399877,aqi,PIIANN,
pm25:PIIANN,1629,30.204220745364918,44.72904926939276,0.6808240956061868,3.885451757293618,pm25,PIIANN,
pm10:PIIANN,1579,61.02690130672249,84.99795720402224,0.6277957009563013,2.0237927270735874,pm10,PIIANN,
no2:PIIANN,1619,10.048099634973326,15.824464120918162,0.8176475758680655,1.0978851642142096,no2,PIIANN,
co:PIIANN,1623,0.7732876517121156,1.1244635903286817,0.5659504967158658,-0.060721987348529155,co,PIIANN,
o3:PIIANN,1629,12.913570315359266,20.26039121385187,0.5786299413454008,0.2689969561596163,o3,PIIANN,
