model,n,MAE,RMSE,R2,Bias,target,model_family,training_time_seconds
AQI:RandomForest,1624,7.986370354350971,21.06146938743117,0.9629096524636646,0.24972267569692183,aqi,RandomForest,44.82426605699993
AQI:GradientBoosting,1624,12.235879647044074,23.320287261271417,0.9545272352727331,-0.06626543284723845,aqi,GradientBoosting,35.707077862999995
AQI:LinearRegression,1624,9.983266911361163,23.75522248958113,0.9528152375396586,-0.5258749275920792,aqi,LinearRegression,0.1794985699998506
AQI:Persistence,1624,7.463977832512315,24.718130822926526,0.948912479938857,-0.4467364532019704,aqi,Persistence,0.0
AQI:GRU,1603,10.74440853268592,19.11243133761723,0.96896869877383,1.0702311749868356,aqi,GRU,
AQI:PINN,1603,10.736862374842124,19.198804953454804,0.9686875893673543,-0.9257613760683302,aqi,PINN,
AQI:PIIANN,1603,9.370790024807862,17.652101390178515,0.9735295735958726,-0.6765929229588651,aqi,PIIANN,
pm25:PIIANN,1675,17.651706570280133,28.980578559279653,0.8953997573842966,-0.5765179725013562,pm25,PIIANN,
pm10:PIIANN,1676,29.280825120443588,47.01551004859224,0.854528786636426,2.44481860767152,pm10,PIIANN,
no2:PIIANN,1679,9.545973521176373,14.911259307048757,0.8320640011640321,0.3740426346686285,no2,PIIANN,
so2:PIIANN,1678,2.151912886467324,3.7711405621035508,0.8497440517996624,0.08593788430432171,so2,PIIANN,
co:PIIANN,1675,0.222730019759799,0.34739875361576406,0.816742106948699,0.007015154637530564,co,PIIANN,
o3:PIIANN,1673,11.575935079703342,16.328876536410117,0.8732397119173634,0.48034161868133873,o3,PIIANN,
