model,n,MAE,RMSE,R2,Bias,target,model_family,training_time_seconds
AQI:RandomForest,1640,7.785966950965705,24.051281071845306,0.9447084031111146,0.3753971055879936,aqi,RandomForest,40.402181020999706
AQI:GradientBoosting,1640,11.255115425739362,26.669797232874235,0.9320135861848665,0.2204342399369168,aqi,GradientBoosting,34.90779032799992
AQI:LinearRegression,1640,9.006456069921907,27.325724657129175,0.9286282933813351,0.09329785097658302,aqi,LinearRegression,0.13540781799974866
AQI:Persistence,1640,7.692378048780488,28.470821070686114,0.9225212349747263,0.01920731707317073,aqi,Persistence,0.0
AQI:GRU,1598,10.02492898917991,22.766826719217264,0.9487381265019701,0.571559057692981,aqi,GRU,
AQI:PINN,1598,10.052763667440626,22.570825796014812,0.9496169600294454,0.7831910534085267,aqi,PINN,
AQI:PIIANN,1598,9.371533146201145,21.91540656359322,0.9525005551191372,2.2394281863248398,aqi,PIIANN,
pm25:PIIANN,1613,18.20563580796021,36.98314666140758,0.795100138773369,1.5713789366504383,pm25,PIIANN,
pm10:PIIANN,1633,43.86817137419776,72.42828230790428,0.7707770432538175,1.0695083446467646,pm10,PIIANN,
no2:PIIANN,1542,6.457447655914513,11.9656843375398,0.8085527831956352,0.05280193823707398,no2,PIIANN,
so2:PIIANN,1653,3.2092754616724926,8.039977317054369,0.8734852403898226,-0.6390991265002662,so2,PIIANN,
co:PIIANN,1675,0.19069326192579175,0.391358503528507,0.8212464471526719,0.006591084163518236,co,PIIANN,
o3:PIIANN,1673,7.6944982866933085,12.684143095169425,0.784489286913989,-0.07772512946810041,o3,PIIANN,
