model,n,MAE,RMSE,R2,Bias,target,model_family,training_time_seconds
AQI:RandomForest,1622,7.162164310614278,19.788167087597696,0.9679737934438337,0.6718908396375288,aqi,RandomForest,44.180195827999796
AQI:GradientBoosting,1622,10.888417406751895,22.465594381795935,0.9587209028864264,0.15628923193865168,aqi,GradientBoosting,35.65006022500029
AQI:LinearRegression,1622,8.721379166102556,23.01859277405713,0.9566636926849111,0.6924074680996589,aqi,LinearRegression,0.14109895000001416
AQI:Persistence,1622,6.479963008631319,23.62341664133516,0.9543564114404803,0.26356350184956845,aqi,Persistence,0.0
AQI:GRU,1556,10.242801540054083,22.118120014191717,0.9556658421883222,-0.6100539839689896,aqi,GRU,
AQI:PINN,1556,10.426948158862732,21.944129619730365,0.956360600868929,1.369860828349474,aqi,PINN,
AQI:PIIANN,1556,9.904333905811534,21.73519991049088,0.95718762504569,-0.3137464753483622,aqi,PIIANN,
pm25:PIIANN,1679,44.0334753430692,59.708666869066384,0.5293032131932279,6.062189575886002,pm25,PIIANN,
pm10:PIIANN,1673,87.99687425768168,126.21493833938764,0.40816633423336945,-4.528779688596868,pm10,PIIANN,
no2:PIIANN,1666,18.944769975509033,26.55843309327199,0.18263448197389265,-0.23994909415618568,no2,PIIANN,
so2:PIIANN,1668,4.860069492237745,7.373187260428994,0.07806530243509247,-0.8712056225581135,so2,PIIANN,
co:PIIANN,1678,0.6978784596281647,1.0790693153440238,0.17397561586920873,0.0275625957238824,co,PIIANN,
o3:PIIANN,1680,20.827109687668937,28.65049727624431,0.10461685868626269,0.8115152824492682,o3,PIIANN,
