model,n,MAE,RMSE,R2,Bias,target,model_family,training_time_seconds
AQI:RandomForest,1337,6.2718715846585145,18.81810778270167,0.9595921149032945,0.6080979524821956,aqi,RandomForest,17.731040492000375
AQI:GradientBoosting,1337,9.666542535384297,21.78032338347776,0.9458693970640483,0.4570827348314645,aqi,GradientBoosting,15.347886885000207
AQI:LinearRegression,1337,7.6196978668024435,22.174415810539113,0.9438928005996412,0.946502907705249,aqi,LinearRegression,0.07146130599994649
AQI:Persistence,1337,5.943904263275991,22.445087983118547,0.9425146947939074,0.2744951383694839,aqi,Persistence,0.0
AQI:GRU,1359,9.312204335168234,21.743638443197288,0.9504748087964913,-0.04396066865608611,aqi,GRU,
AQI:PINN,1359,8.737456947913019,21.054094006213834,0.9535661343476822,-0.5297843722226591,aqi,PINN,
AQI:PIIANN,1359,8.485721875386762,20.13912535205588,0.9575142846314488,0.5382858548999812,aqi,PIIANN,
pm25:PIIANN,1539,18.560909213330003,31.32481585132647,0.8449877495851479,0.753738458790587,pm25,PIIANN,
pm10:PIIANN,1554,37.02467682278755,61.51373184759505,0.7812853447095969,1.4650008966870596,pm10,PIIANN,
no2:PIIANN,1551,7.7708581104192485,14.571258678047167,0.8299569623432659,0.39825984480148896,no2,PIIANN,
co:PIIANN,1440,0.2936538883574043,0.5201050033730542,0.8181188651340441,-0.006096341530932651,co,PIIANN,
o3:PIIANN,1558,5.157456002854509,14.564137207595234,0.7825538259868166,-0.7062982496027195,o3,PIIANN,
