model,n,MAE,RMSE,R2,Bias,target,model_family,training_time_seconds
AQI:RandomForest,1585,6.199595848417931,18.374510527773285,0.9554192913361697,-0.7970210638541464,aqi,RandomForest,44.567131535000044
AQI:LinearRegression,1585,6.94047691414313,19.435215133688477,0.9501237130712774,-1.085718194272403,aqi,LinearRegression,0.1247714440000891
AQI:GradientBoosting,1585,8.810913765519459,19.54125934151621,0.9495779490328041,-0.9914867748940963,aqi,GradientBoosting,39.794240489
AQI:Persistence,1585,5.686750788643534,20.169021596910845,0.9462862996472371,-0.965615141955836,aqi,Persistence,0.0
AQI:GRU,1533,8.029340979127436,18.198920434777772,0.9526196857287722,0.4141094247359363,aqi,GRU,
AQI:PINN,1533,8.174611811578115,18.2837151017379,0.9521771366634175,2.1987007026428977,aqi,PINN,
AQI:PIIANN,1533,7.7673030261539,17.05725007817596,0.958377830069008,0.4458049965557219,aqi,PIIANN,
pm25:PIIANN,1614,17.496174103265357,28.393630818481626,0.7631948467520577,-1.0545779763544358,pm25,PIIANN,
pm10:PIIANN,1612,29.765611778713634,53.541688582057596,0.7684484010382804,-1.1567705618240698,pm10,PIIANN,
no2:PIIANN,1626,8.44678890262931,15.189732059762251,0.7891515904030288,0.31935914692458633,no2,PIIANN,
so2:PIIANN,1628,5.109130300709598,8.78069392583528,0.6251598901926712,-0.023547916323019773,so2,PIIANN,
co:PIIANN,1618,0.2939254111918247,0.4597002584319377,0.660771586289385,-0.011464811987404231,co,PIIANN,
o3:PIIANN,1626,5.049738267122746,8.810140225589237,0.8100394219848963,-0.10002286240990019,o3,PIIANN,
