model,n,MAE,RMSE,R2,Bias,target,model_family,training_time_seconds
AQI:RandomForest,1360,6.655295508444417,21.700787497156487,0.9446631969574919,0.8118772738635129,aqi,RandomForest,18.040361346999816
AQI:GradientBoosting,1360,10.460656267314377,24.66325824892162,0.9285233848809021,1.27971452856421,aqi,GradientBoosting,14.681296840000414
AQI:LinearRegression,1360,8.370719834243035,25.97041629337788,0.9207460531688787,1.106539278957798,aqi,LinearRegression,0.09969706199990469
AQI:Persistence,1360,6.851838235294117,26.68065158720167,0.9163519271203505,0.7040441176470589,aqi,Persistence,0.0
AQI:GRU,1323,8.588879356484037,22.93658814724031,0.9405779109631665,-1.4909826207148835,aqi,GRU,
AQI:PINN,1323,8.746150479989373,21.166018476278154,0.9493978901894389,-1.5628059743849647,aqi,PINN,
AQI:PIIANN,1323,6.9162642187245815,17.131886166476573,0.9668486939327652,-1.5973286573764827,aqi,PIIANN,
pm25:PIIANN,1641,17.135422752115655,25.648437649132998,0.8424625754376676,-0.8367882325182885,pm25,PIIANN,
pm10:PIIANN,1637,27.2532898052917,42.159793831807015,0.8235485430511404,0.32100685238474086,pm10,PIIANN,
no2:PIIANN,1622,3.356050331747267,6.770786892790068,0.8953119222232276,0.3344639619277232,no2,PIIANN,
co:PIIANN,1640,0.1227776698234332,0.21944783613161017,0.927236719466298,-0.003839838358278318,co,PIIANN,
o3:PIIANN,1623,6.375551471868857,10.507250279706058,0.8680805709402555,-0.22426273113257783,o3,PIIANN,
