model,n,MAE,RMSE,R2,Bias,target,model_family,training_time_seconds
AQI:RandomForest,1571,6.431182092990871,20.529989939053525,0.9643378693600434,-0.535077345373534,aqi,RandomForest,23.07121241499999
AQI:GradientBoosting,1571,10.38511929398159,22.694277179668795,0.9564224787559062,-0.27432130347912875,aqi,GradientBoosting,17.92545832299993
AQI:LinearRegression,1571,7.926821924853087,23.46671548076351,0.953405524307794,-0.5973588958765608,aqi,LinearRegression,0.08714301100008015
AQI:Persistence,1571,6.184914067472947,23.79715827997996,0.9520840600543524,-0.7246976448122215,aqi,Persistence,0.0
AQI:GRU,1549,8.848837971214607,21.050386953409916,0.9638581856564861,1.2650628153543717,aqi,GRU,
AQI:PINN,1549,8.554810594293846,20.764538348064956,0.9648330791827098,0.35541046001990684,aqi,PINN,
AQI:PIIANN,1549,8.421833729640166,20.42800436618633,0.9659637529295336,0.45849898176181947,aqi,PIIANN,
pm25:PIIANN,1647,33.608179983545526,50.884005247151116,0.6636549396908062,3.514157944906822,pm25,PIIANN,
pm10:PIIANN,1552,51.04809547085123,70.69919181855346,0.5797897684293414,0.7371721255410578,pm10,PIIANN,
no2:PIIANN,1678,36.94227972276802,57.04932257273652,0.23480175322204977,0.24980586221945583,no2,PIIANN,
so2:PIIANN,1688,6.538127182713617,12.017171285150498,0.16102841250205746,-0.1296183939369934,so2,PIIANN,
co:PIIANN,1693,0.7692926962584339,1.161385369226075,0.38724909791437145,-0.027523181496579636,co,PIIANN,
o3:PIIANN,1691,13.51664798829698,19.872269571580198,0.3023349532447287,0.6143232367752149,o3,PIIANN,
