model,n,MAE,RMSE,R2,Bias,target,model_family,training_time_seconds
AQI:RandomForest,1538,7.919303755827129,23.067155782608793,0.9562394439181048,1.093315037963275,aqi,RandomForest,42.105474394999874
AQI:GradientBoosting,1538,11.463809190783598,24.908452109490423,0.9489743888923393,0.9775377795163703,aqi,GradientBoosting,33.818855471999996
AQI:LinearRegression,1538,9.570147105448841,25.928326612858633,0.9447103663383195,0.9307193272709794,aqi,LinearRegression,0.23347417900004075
AQI:Persistence,1538,7.392392717815345,26.81489976029645,0.940864661038629,1.0139791937581275,aqi,Persistence,0.0
AQI:GRU,1511,10.079160158625395,21.77362282995299,0.9617732335616666,-0.04459029290793661,aqi,GRU,
AQI:PINN,1511,9.527636979761736,21.2338246457236,0.9636451275895571,-0.23207239463112347,aqi,PINN,
AQI:PIIANN,1511,9.35567036340666,19.440200036005344,0.9695275319336549,0.2691875397898124,aqi,PIIANN,
pm25:PIIANN,1639,24.510833485450885,38.23537282442371,0.8828753534710586,0.34463792090157025,pm25,PIIANN,
pm10:PIIANN,1655,42.88961111051439,63.292519365593115,0.8611235841980549,0.18711711330356195,pm10,PIIANN,
no2:PIIANN,1649,8.835323038066496,15.597434803420272,0.8433383609316423,0.406699418732439,no2,PIIANN,
so2:PIIANN,1641,3.2737226948053517,6.558075800368608,0.7602648466518649,-0.1392563329947151,so2,PIIANN,
co:PIIANN,1650,0.30281060702758,0.465160568281703,0.7866691602092275,0.009218181731779173,co,PIIANN,
o3:PIIANN,1646,7.10602029520036,10.451384407054226,0.8953695665474608,-0.16791431762658304,o3,PIIANN,
