model,n,MAE,RMSE,R2,Bias,target,model_family,training_time_seconds
AQI:RandomForest,1599,7.78538195640128,22.118382345503555,0.9565431306113081,-0.19166998602855137,aqi,RandomForest,42.92143664800005
AQI:LinearRegression,1599,9.97553754491376,24.006052070276258,0.9488090484967703,0.03285347394770673,aqi,LinearRegression,0.6590893450002113
AQI:GradientBoosting,1599,12.067298232262226,24.325862315658235,0.9474360246359959,0.3410476128966762,aqi,GradientBoosting,34.4941187710001
AQI:Persistence,1599,7.3272357723577235,24.910727883078618,0.9448780529237739,-0.061131957473420886,aqi,Persistence,0.0
AQI:GRU,1573,11.15889381291566,24.366623359354566,0.9472110799828409,0.6196160762156941,aqi,GRU,
AQI:PINN,1573,11.713171152996114,24.00043102098678,0.9487858276330787,0.28092771386615184,aqi,PINN,
AQI:PIIANN,1573,10.541978051483408,21.16759102565624,0.9601622365612211,-1.1183620156941716,aqi,PIIANN,
pm25:PIIANN,1659,16.919948987352914,30.376710563244654,0.8734314108617566,-1.0616306857289572,pm25,PIIANN,
pm10:PIIANN,1625,31.67034588593703,53.05271394956857,0.822032146536174,-0.5879174191401555,pm10,PIIANN,
no2:PIIANN,1650,9.159157092896375,13.443566023203488,0.8501454887152462,0.9143010319001746,no2,PIIANN,
so2:PIIANN,1659,2.056069213899235,3.24055334656904,0.8416929983459449,0.09633713883402263,so2,PIIANN,
co:PIIANN,1655,0.31321007702274245,0.5932693167080517,0.7813566620979467,0.015295696351955695,co,PIIANN,
o3:PIIANN,1654,10.871761746789884,16.820056915328806,0.8404146393325937,0.007714493995523384,o3,PIIANN,
