model,n,MAE,RMSE,R2,Bias,target,model_family,training_time_seconds
AQI:RandomForest,875,7.22691519174792,21.92022024657853,0.9316528111668774,1.594210963019071,aqi,RandomForest,15.8570234849999
AQI:GradientBoosting,875,9.507822281881907,22.12926695506188,0.9303429809041337,1.246681846377583,aqi,GradientBoosting,14.587566951000099
AQI:Persistence,875,7.0285714285714285,22.93638407172574,0.9251691404003176,1.632,aqi,Persistence,0.0
AQI:LinearRegression,875,8.080306565137786,23.246193580458936,0.9231339561096628,1.8039738532575604,aqi,LinearRegression,0.05554838199986989
AQI:GRU,861,10.138038010816073,22.098722889080936,0.9289852743798777,0.7093292129504369,aqi,GRU,
AQI:PINN,861,10.002482543495129,21.65671904757479,0.9317976425877725,1.2012099355280004,aqi,PINN,
AQI:PIIANN,861,9.541737997323859,21.54782935492299,0.9324817594629561,-0.6779844526012924,aqi,PIIANN,
pm25:PIIANN,985,40.38183997703083,73.65675437456744,0.1706729217044518,-11.452115623146144,pm25,PIIANN,
pm10:PIIANN,968,77.00424795326862,109.07374247020068,0.10568671208538383,8.579920355138206,pm10,PIIANN,
no2:PIIANN,1011,25.640383847757924,32.96246777888245,0.061506337854634885,-2.047506813464721,no2,PIIANN,
so2:PIIANN,1022,8.443651860641815,10.585534784554605,0.024910252017186107,0.5529918415716133,so2,PIIANN,
co:PIIANN,498,0.21090478099972368,0.2527484410991379,-0.022560414784438043,0.06634735857626521,co,PIIANN,
o3:PIIANN,499,2.759798065216126,3.8950832368154,0.005420807583357168,0.12598791103324813,o3,PIIANN,
