model,n,MAE,RMSE,R2,Bias,target,model_family,training_time_seconds
AQI:RandomForest,1615,7.777381815377833,21.623028087939694,0.958039504384665,0.8202085852412409,aqi,RandomForest,42.898535749000075
AQI:GradientBoosting,1615,11.600545924485168,24.11508015229859,0.9478102755623122,0.5965037091113609,aqi,GradientBoosting,33.89171579799995
AQI:LinearRegression,1615,9.468666538599487,24.861637732030086,0.944528865001272,0.8494742063214707,aqi,LinearRegression,0.14146416400035378
AQI:Persistence,1615,7.08359133126935,25.796410579024553,0.9402791272897003,0.6507739938080496,aqi,Persistence,0.0
AQI:GRU,1570,11.043101564981944,25.062466325978352,0.941761789077939,1.0496504407571297,aqi,GRU,
AQI:PINN,1570,10.851036537617912,25.025178625350783,0.9419349526864859,1.6203681818790414,aqi,PINN,
AQI:PIIANN,1570,10.329257904323068,24.570361867087744,0.94402636421697,1.1132975044315703,aqi,PIIANN,
pm25:PIIANN,1673,30.915505191771057,48.18799946408181,0.6547043042032421,2.4438811890464733,pm25,PIIANN,
pm10:PIIANN,1673,55.64167585361524,78.34107344259384,0.5566284627241236,2.7998790698213916,pm10,PIIANN,
no2:PIIANN,1680,18.749641934037207,25.466020726898524,0.2326699135778355,-0.403376018291428,no2,PIIANN,
so2:PIIANN,1674,3.3487164945238166,5.0945262350693525,0.2203848135281261,-0.163281748135849,so2,PIIANN,
co:PIIANN,1667,0.5592651845093649,0.7987826073545758,0.253324189081099,-0.03460833269069091,co,PIIANN,
o3:PIIANN,1667,21.931405467665616,31.243215234410705,0.29834152626750166,-0.5879270839759098,o3,PIIANN,
