model,n,MAE,RMSE,R2,Bias,target,model_family,training_time_seconds
AQI:RandomForest,1531,7.255449656804824,22.826803096913423,0.9535072359362186,-0.43322329583265845,aqi,RandomForest,41.59873939799991
AQI:GradientBoosting,1531,11.257701268311786,25.342582128571134,0.942694420806715,-0.4072250099282052,aqi,GradientBoosting,32.93711587400003
AQI:LinearRegression,1531,8.87775621281384,26.103699545396047,0.9392005983458253,-0.016688326983665604,aqi,LinearRegression,0.1303980320003575
AQI:Persistence,1531,6.795558458523841,26.72567293314779,0.9362687436934717,-0.16002612671456565,aqi,Persistence,0.0
AQI:GRU,1479,9.689003064124693,21.183457183787194,0.9574025664263321,0.34345835864145857,aqi,GRU,
AQI:PINN,1479,10.307555028154315,21.097040528458557,0.9577494049269769,0.3937775324788276,aqi,PINN,
AQI:PIIANN,1479,8.880396130712848,19.5737269373588,0.9636305438772564,0.16726711766921445,aqi,PIIANN,
pm25:PIIANN,1609,18.589927612290463,29.3147260080648,0.8599347684392844,0.2514383832885287,pm25,PIIANN,
pm10:PIIANN,1614,29.347952810805083,43.674748390840165,0.8191580092231909,1.646210612565316,pm10,PIIANN,
no2:PIIANN,1614,6.884599080907073,9.970335924747536,0.8995081489257236,0.6385735818444574,no2,PIIANN,
so2:PIIANN,1612,3.1405419375615717,5.933720522253532,0.7530696597729659,0.22479725065329123,so2,PIIANN,
co:PIIANN,1601,0.1814292057618146,0.31575360359745175,0.7541523908812577,0.015084294622530702,co,PIIANN,
o3:PIIANN,1597,8.592430291945814,13.91676391734006,0.8689128466453515,-0.4600772910571203,o3,PIIANN,
