model,n,MAE,RMSE,R2,Bias,target,model_family,training_time_seconds
AQI:RandomForest,1578,9.109020716606842,27.038458991605218,0.9356539947806476,-0.9607872435371582,aqi,RandomForest,43.72810586000014
AQI:GradientBoosting,1578,12.212632138612753,27.933046836467344,0.9313256849182948,-0.7386146485774183,aqi,GradientBoosting,36.374220430000605
AQI:LinearRegression,1578,10.585477596032842,29.14281509211713,0.9252483610553215,-1.053509154070648,aqi,LinearRegression,0.14794901200002641
AQI:Persistence,1578,8.450887198986058,29.454146335875336,0.9236426939128576,-0.8513941698352345,aqi,Persistence,0.0
AQI:GRU,1554,11.359753888405278,25.808668665604657,0.9422166578784441,0.6258781537402848,aqi,GRU,
AQI:PINN,1554,11.387126239457025,25.641130220196096,0.9429644305958643,1.9260088554804073,aqi,PINN,
AQI:PIIANN,1554,10.421019099676812,22.70758841656202,0.955268498042316,0.039160835356401594,aqi,PIIANN,
pm25:PIIANN,1662,23.70824481713643,37.98871074598339,0.8800974450721573,-1.3006016033938073,pm25,PIIANN,
pm10:PIIANN,1657,53.41911145640053,79.70876605303215,0.7900881233298735,-5.085745134875943,pm10,PIIANN,
no2:PIIANN,1672,7.988657948431786,12.550780783427225,0.7938301921610733,0.14415039849338349,no2,PIIANN,
so2:PIIANN,1666,3.285400630483607,6.903310593793738,0.6982555400348206,-0.20015160189348968,so2,PIIANN,
co:PIIANN,1675,0.19763301059578328,0.31607097211407104,0.7949044959704086,-0.0006584414241786586,co,PIIANN,
o3:PIIANN,1632,9.688075025506572,14.246828121112438,0.8508143742039413,0.631987840307,o3,PIIANN,
