model,n,MAE,RMSE,R2,Bias,target,model_family,training_time_seconds
AQI:RandomForest,1528,7.164537727569677,21.3050068248404,0.9550510596043786,-1.187754414532359,aqi,RandomForest,41.79254738099917
AQI:GradientBoosting,1528,10.88699238338178,24.159496977927112,0.9421994623290891,-1.1085198227058712,aqi,GradientBoosting,32.22851108800023
AQI:LinearRegression,1528,9.405002917069705,25.032963706709598,0.9379444480959391,-0.7677676377662923,aqi,LinearRegression,0.13272027099992556
AQI:Persistence,1528,6.868128272251309,25.563412453792676,0.9352866686181581,-1.1482329842931938,aqi,Persistence,0.0
AQI:GRU,1509,10.670376851807434,22.76609043287842,0.9476362533238162,0.969044002537778,aqi,GRU,
AQI:PINN,1509,9.991735131328934,21.524256272632833,0.9531930752810512,-0.13099536898050798,aqi,PINN,
AQI:PIIANN,1509,8.748378330012459,17.969977604372886,0.9673751238572582,-0.6973025070025953,aqi,PIIANN,
pm25:PIIANN,1632,17.49322353566394,28.70114730547219,0.8519078084162427,-0.1545203015500424,pm25,PIIANN,
pm10:PIIANN,1644,29.01932942008015,49.38062676301442,0.7877866410922535,-0.603477816983441,pm10,PIIANN,
no2:PIIANN,1643,4.339794831129377,7.329935418549604,0.8973670551642439,-0.12115608343465692,no2,PIIANN,
so2:PIIANN,1613,1.6530021855888237,3.281946844119456,0.8261535866978836,0.08679835923981459,so2,PIIANN,
co:PIIANN,1641,0.13317385755113093,0.22710163137403885,0.8107340539630625,0.0057442770620503335,co,PIIANN,
o3:PIIANN,1636,7.54447403844118,11.14170234191601,0.921305699798568,-0.31716095915515075,o3,PIIANN,
