model,n,MAE,RMSE,R2,Bias,target,model_family,training_time_seconds
AQI:RandomForest,1630,6.867887569365712,18.27247573135167,0.9713152207293883,0.38583943295699563,aqi,RandomForest,44.18585787399934
AQI:GradientBoosting,1630,10.128326392878034,19.43654058069479,0.9675440247380762,0.5109385757917386,aqi,GradientBoosting,35.292029831000036
AQI:LinearRegression,1630,7.9832993517128985,20.440992549363415,0.964102790908475,0.4686108778476709,aqi,LinearRegression,0.1420271450006112
AQI:Persistence,1630,5.919938650306748,20.815369351202822,0.962775834724128,0.21134969325153374,aqi,Persistence,0.0
AQI:GRU,1599,10.742135128027828,24.699966061043888,0.9474012323312526,-0.14341090128431977,aqi,GRU,
AQI:PINN,1599,11.159776753067836,25.231432889964292,0.9451133549022227,2.3336119365328645,aqi,PINN,
AQI:PIIANN,1599,10.317647000197574,21.763709391416622,0.9591634830836274,1.6863790566174544,aqi,PIIANN,
pm25:PIIANN,1675,20.657008304845043,33.23768010585022,0.8740122212685095,0.22136641548640693,pm25,PIIANN,
pm10:PIIANN,1665,41.08040422777514,61.66411630878182,0.8117970859785114,0.5528345652170725,pm10,PIIANN,
no2:PIIANN,1673,7.064620476886319,11.256978680044407,0.7451969202559143,0.12418967987774235,no2,PIIANN,
so2:PIIANN,1665,3.0777911020560307,6.645104876566715,0.759941768427847,-0.04054036848358922,so2,PIIANN,
co:PIIANN,1671,0.17567741273782697,0.2769972975992407,0.706741389848942,-0.005149918655327608,co,PIIANN,
o3:PIIANN,1673,8.612220194954503,12.784555314298517,0.8885851250193906,-0.31708561937233964,o3,PIIANN,
