model,n,MAE,RMSE,R2,Bias,target,model_family,training_time_seconds
AQI:RandomForest,1653,9.239724619577203,22.443974953798048,0.9642679753037418,0.8019248084122639,aqi,RandomForest,47.40156848799961
AQI:GradientBoosting,1653,13.49249488236766,23.804373010283182,0.9598050429775169,0.26946503516073206,aqi,GradientBoosting,35.99711782199938
AQI:LinearRegression,1653,11.325886035804507,24.406886858844057,0.9577445383751737,0.609888737653242,aqi,LinearRegression,0.17059488700033398
AQI:Persistence,1653,8.35178463399879,25.014058358201083,0.9556160048263953,0.5223835450695705,aqi,Persistence,0.0
AQI:GRU,1623,11.541887198978202,22.11340077322094,0.9632420754990069,-0.5291525417330666,aqi,GRU,
AQI:PINN,1623,12.545111621727536,22.523984207912186,0.9618644217604622,2.74488861119283,aqi,PINN,
AQI:PIIANN,1623,11.481565290338024,21.829792243080668,0.9641788839657269,0.619920477899871,aqi,PIIANN,
pm25:PIIANN,1668,44.3396638065791,70.6394786452674,0.6137261169137391,6.044422384360425,pm25,PIIANN,
pm10:PIIANN,1679,65.03201945506795,94.18685874685416,0.563319989481619,2.317974464960081,pm10,PIIANN,
no2:PIIANN,1646,22.23657922205919,30.161468380187507,0.3438976823280454,-0.3594139080001256,no2,PIIANN,
so2:PIIANN,1678,5.027787598651413,7.949935973244474,0.21113345654618876,-0.6857413067010646,so2,PIIANN,
co:PIIANN,1661,0.6621054552696264,1.0030204417937278,0.28025077856707015,-0.01013629867659414,co,PIIANN,
o3:PIIANN,1679,32.20709014831731,41.97162892382547,0.40932838480786804,-0.009457527969904497,o3,PIIANN,
