model,n,MAE,RMSE,R2,Bias,target,model_family,training_time_seconds
AQI:RandomForest,1225,7.2108386597307,20.145223759418663,0.9618179365339045,1.1446171502102716,aqi,RandomForest,15.811998572999983
AQI:GradientBoosting,1225,11.020938159505807,22.411770662613893,0.9527428481573004,1.4150190106278608,aqi,GradientBoosting,13.822222310000143
AQI:LinearRegression,1225,8.951937602759436,24.456292180582548,0.9437274711411922,1.4339016603298604,aqi,LinearRegression,0.13067432200023177
AQI:Persistence,1225,6.751836734693877,25.966084630155702,0.9365651173969914,-0.0236734693877551,aqi,Persistence,0.0
AQI:GRU,1228,8.7198997332953,17.738725060658957,0.9707457180819661,1.0945174847375496,aqi,GRU,
AQI:PINN,1228,8.921948853563551,17.632959487645934,0.9710935301985187,-1.1393179654752583,aqi,PINN,
AQI:PIIANN,1228,8.413754161174841,16.958737476428976,0.9732618305080906,1.0198701031755744,aqi,PIIANN,
pm25:PIIANN,1692,34.84296902978956,60.83137915050771,0.5678757040181697,1.7795174724948604,pm25,PIIANN,
pm10:PIIANN,1700,57.72192541627323,81.02948059188864,0.5812857196221366,1.61066554293913,pm10,PIIANN,
no2:PIIANN,1691,17.523630677807763,26.53902984718067,0.22671242497402389,0.6217744437496314,no2,PIIANN,
co:PIIANN,1690,0.9984391072634073,1.315822867884384,0.20496315535358756,0.012131947297847178,co,PIIANN,
o3:PIIANN,1697,17.53000533917088,31.402559289823827,0.1654720109565938,-0.25037314299807945,o3,PIIANN,
