model,n,MAE,RMSE,R2,Bias,target,model_family,training_time_seconds
AQI:RandomForest,1627,7.274176562912233,20.06150641050656,0.9595899165171485,0.30122378030808256,aqi,RandomForest,45.877186087000155
AQI:GradientBoosting,1627,10.272181916574523,22.263425843681105,0.9502324051824338,0.24288356490304136,aqi,GradientBoosting,39.357096763999834
AQI:LinearRegression,1627,8.692822372744851,23.967796322250667,0.9423208466848405,0.5420551466481262,aqi,LinearRegression,0.1375040059992898
AQI:Persistence,1627,7.090043023970498,24.667808339720565,0.9389024498217284,0.10786724031960664,aqi,Persistence,0.0
AQI:GRU,1579,9.860967988514618,22.792378171836802,0.9474314742020635,0.18427690293299814,aqi,GRU,
AQI:PINN,1579,10.08104427100588,22.441472906917898,0.9490376754613857,0.48169484620980757,aqi,PINN,
AQI:PIIANN,1579,9.640952316360938,22.133150105014224,0.9504283958981159,-0.01567314555110351,aqi,PIIANN,
pm25:PIIANN,1681,38.34045480391158,53.80891582036839,0.47215385065239424,6.840433181998702,pm25,PIIANN,
pm10:PIIANN,1681,67.83537549365496,96.01607395597335,0.5077784014596413,4.716676638283806,pm10,PIIANN,
no2:PIIANN,1689,12.381989265066975,16.583016059985333,0.22711615528625184,-0.15890406828225895,no2,PIIANN,
so2:PIIANN,1689,4.424193524799098,7.235406554179499,0.08333664103643246,-0.3131407474963322,so2,PIIANN,
co:PIIANN,1691,0.5302318282150306,0.8586353815275062,0.07238501866285219,-0.060624936243930935,co,PIIANN,
o3:PIIANN,1693,14.588077953068801,20.063124061969692,0.20543016879146347,-0.12952661929719209,o3,PIIANN,
