model,n,MAE,RMSE,R2,Bias,target,model_family,training_time_seconds
AQI:RandomForest,1626,8.30378483048419,23.39231263002519,0.952995663111878,0.8911885788221526,aqi,RandomForest,43.87664131800011
AQI:GradientBoosting,1626,11.917037049047858,25.557340026702988,0.943892242230976,0.6485944858612362,aqi,GradientBoosting,35.44543825300025
AQI:LinearRegression,1626,10.03728368669919,27.18694757393489,0.9365089498081587,0.9107106441904691,aqi,LinearRegression,0.1394456160005575
AQI:Persistence,1626,8.002152521525215,28.25467066723916,0.93142400614936,0.5968634686346863,aqi,Persistence,0.0
AQI:GRU,1600,10.1214534797822,20.893182043797967,0.959578808472481,-0.4497442416433673,aqi,GRU,
AQI:PINN,1600,10.16577855299772,19.7687586359209,0.9638124873630541,2.36783721287209,aqi,PINN,
AQI:PIIANN,1600,7.16908431986604,14.695934971751191,0.980001640189417,-0.27482877891105223,aqi,PIIANN,
pm25:PIIANN,1678,16.60607081630375,29.853952794851917,0.8910050174649687,-1.1222320236665273,pm25,PIIANN,
pm10:PIIANN,1671,35.516887818889515,53.46184083291933,0.8384072595423888,-2.2718231399782685,pm10,PIIANN,
no2:PIIANN,1669,9.692993552617644,13.9566163467552,0.8637278997889076,-0.25600034566322727,no2,PIIANN,
so2:PIIANN,1679,1.7744164654653367,3.3437628668123422,0.7370377599389235,-0.07574188908059516,so2,PIIANN,
co:PIIANN,1663,0.2981556949324993,0.49430961139578405,0.8110345826463254,0.0019701211063075717,co,PIIANN,
o3:PIIANN,1668,8.498523696716562,12.53353619769368,0.8991722141898478,0.4780959448413097,o3,PIIANN,
