model,n,MAE,RMSE,R2,Bias,target,model_family,training_time_seconds
AQI:RandomForest,1611,7.395698698622597,20.972368704798104,0.9652506103407552,-0.3341247095274553,aqi,RandomForest,44.7528742530003
AQI:GradientBoosting,1611,11.54672773942908,23.30626419205159,0.9570861436715666,0.07584000025983552,aqi,GradientBoosting,34.80412429899934
AQI:LinearRegression,1611,10.000913492768067,24.19676402773992,0.9537441366954025,-0.13970508932977047,aqi,LinearRegression,0.14554886600035388
AQI:Persistence,1611,6.927063935443824,24.637877028707006,0.952042252244325,-0.21508379888268156,aqi,Persistence,0.0
AQI:GRU,1568,12.381543392532224,27.202000999456605,0.9380212866592351,1.9545156877418224,aqi,GRU,
AQI:PINN,1568,11.222323303404558,26.586965758083817,0.9407922708950641,-1.5841304507024165,aqi,PINN,
AQI:PIIANN,1568,11.130618193143762,24.223667404930854,0.9508503260040018,-0.13274919553311254,aqi,PIIANN,
pm25:PIIANN,1663,19.126918265476185,29.70785717592604,0.9031189287138017,-2.105779637558519,pm25,PIIANN,
pm10:PIIANN,1641,34.38899795853605,51.83669637773625,0.8654371721456409,-2.5565768890741176,pm10,PIIANN,
no2:PIIANN,1658,9.737007816536723,14.806012016049483,0.8242389296097348,-0.17966656172951398,no2,PIIANN,
so2:PIIANN,1667,1.4423216189820394,3.627437721433942,0.6817083152311041,-0.12101552292624132,so2,PIIANN,
co:PIIANN,1650,0.2757431516694329,0.4911324519550285,0.8092526795192427,-0.012276833223390559,co,PIIANN,
o3:PIIANN,1647,10.908417672622308,17.159579644219885,0.86513739327368,-0.6598689578717849,o3,PIIANN,
