model,n,MAE,RMSE,R2,Bias,target,model_family,training_time_seconds
AQI:RandomForest,1578,9.09106462934096,23.638357969082364,0.9535840955569925,0.1662316745787281,aqi,RandomForest,41.67851848999999
AQI:GradientBoosting,1578,12.315249476825942,24.800208922243215,0.9489091784856314,-0.5520260742507328,aqi,GradientBoosting,29.55487304899998
AQI:LinearRegression,1578,10.311641455894186,25.152765574742535,0.947446252093801,-0.4817907561532588,aqi,LinearRegression,0.12717310700008966
AQI:Persistence,1578,8.043092522179975,26.069299281319616,0.9435464934435321,-0.8650190114068441,aqi,Persistence,0.0
AQI:GRU,1573,11.057400180885622,26.56833906793296,0.9406253101192524,0.0496595749298002,aqi,GRU,
AQI:PINN,1573,10.949867476477369,25.879161082456708,0.9436656961826995,-0.7974215324601797,aqi,PINN,
AQI:PIIANN,1573,10.56233736955296,23.65952278421152,0.9529147907052077,-0.7640716943973525,aqi,PIIANN,
pm25:PIIANN,1677,22.2952576789674,35.9512317175345,0.8480598871026948,0.18854010240194266,pm25,PIIANN,
pm10:PIIANN,1677,37.23811563595321,58.46610248140905,0.8081639048080884,-1.7131246738513453,pm10,PIIANN,
no2:PIIANN,1672,6.4584371657266715,9.953936153412984,0.8431890992390627,0.19948781633740692,no2,PIIANN,
so2:PIIANN,1598,3.193185248860952,6.023303867058121,0.7277605582674618,0.01997554407586741,so2,PIIANN,
co:PIIANN,1666,0.2306349248462635,0.4277345751969143,0.8055696846544068,0.011986187355263467,co,PIIANN,
o3:PIIANN,1677,9.243731326315292,15.699199347952874,0.8428662856763929,0.252205433225127,o3,PIIANN,
