model,n,MAE,RMSE,R2,Bias,target,model_family,training_time_seconds
AQI:RandomForest,1440,19.98785585495654,30.762084761065164,0.9087703106896572,-0.12394609411592022,aqi,RandomForest,38.79593271700014
AQI:GradientBoosting,1440,22.99418073771366,33.00840330977938,0.8949602447872589,-0.21519698906656418,aqi,GradientBoosting,32.66589788500005
AQI:LinearRegression,1440,23.54681838189001,35.62138593106689,0.8776718825586334,0.07083021342677161,aqi,LinearRegression,0.11942205200011813
AQI:Persistence,1440,20.620486111111113,40.54556550283205,0.8415138224479742,-0.6489583333333333,aqi,Persistence,0.0
AQI:GRU,1373,21.735788178935405,35.15795986629894,0.8798281821305629,-3.1066613081610868,aqi,GRU,
AQI:PINN,1373,21.754196759674382,35.38819601263481,0.8782491093043779,-3.12309380983522,aqi,PINN,
AQI:PIIANN,1373,21.442294061978256,35.02080468503424,0.880763961003161,-0.816592125389378,aqi,PIIANN,
pm25:PIIANN,1651,42.55116414153742,56.78095594501535,0.4120737442775456,7.117691288096915,pm25,PIIANN,
pm10:PIIANN,1646,75.96307707788877,98.88385419474297,0.33404484003584434,10.140782270222939,pm10,PIIANN,
no2:PIIANN,1641,25.43394416864873,37.41027027334181,0.11329113994972939,1.0504913388193562,no2,PIIANN,
so2:PIIANN,1365,5.789608958265283,8.335220174499508,0.04130111581840601,0.5434164439365541,so2,PIIANN,
co:PIIANN,1645,0.7344208494237966,1.2076737839706875,0.016791450025250954,-0.017806208088249148,co,PIIANN,
o3:PIIANN,1651,16.56949397681483,22.556150876649777,0.060284524618789526,-0.035110814725897804,o3,PIIANN,
